term	arousal	dominance	valence
questioning	0.696	0.509	0.438
questionnaire	0.327	0.606	0.385
queue	0.344	0.365	0.458
queues	0.479	0.269	0.385
quibble	0.685	0.466	0.312
quiche	0.456	0.396	0.5
quick	0.755	0.75	0.704
quicken	0.75	0.799	0.686
quickie	0.7	0.431	0.6
quickly	0.85	0.636	0.784
quickness	0.635	0.74	0.774
quicksand	0.74	0.508	0.219
quicksilver	0.441	0.529	0.417
quid	0.378	0.327	0.479
quiescent	0.16	0.305	0.5
quiet	0.105	0.431	0.792
quietly	0.125	0.321	0.561
quill	0.216	0.263	0.521
quilt	0.123	0.226	0.643
quince	0.368	0.474	0.557
quinine	0.461	0.375	0.418
quintet	0.56	0.5	0.56
quirk	0.384	0.618	0.49
quirky	0.373	0.564	0.708
quit	0.559	0.488	0.469
quits	0.48	0.352	0.229
quitter	0.46	0.321	0.26
quiver	0.452	0.335	0.32
quivering	0.776	0.342	0.407
quiz	0.61	0.527	0.462
quorum	0.544	0.602	0.615
quota	0.41	0.4	0.427
quotation	0.59	0.461	0.796
quote	0.55	0.43	0.68
quotes	0.578	0.52	0.625
quotient	0.29	0.58	0.615
rabbi	0.362	0.723	0.459
rabbit	0.33	0.241	0.685
rabble	0.602	0.292	0.184
rabid	0.827	0.454	0.089
rabies	0.75	0.382	0.115
raccoon	0.435	0.32	0.541
race	0.426	0.658	0.592
racehorse	0.702	0.6	0.719
racer	0.631	0.678	0.48
racetrack	0.808	0.624	0.708
racial	0.519	0.513	0.292
racism	0.673	0.487	0.122
racist	0.673	0.482	0.061
rack	0.373	0.409	0.385
racket	0.356	0.352	0.52
racketeering	0.877	0.697	0.167
racking	0.442	0.375	0.411
racquetball	0.667	0.444	0.582
racy	0.566	0.39	0.427
radar	0.615	0.579	0.521
radial	0.404	0.5	0.439
radiance	0.625	0.719	0.796
radiant	0.717	0.791	0.888
radiate	0.735	0.738	0.719
radiation	0.741	0.536	0.167
radiator	0.452	0.475	0.385
radical	0.792	0.811	0.5
radically	0.731	0.715	0.552
radio	0.402	0.358	0.573
radioactive	0.798	0.741	0.19
radioactivity	0.91	0.696	0.24
radiograph	0.49	0.491	0.561
radiography	0.614	0.543	0.469
radiologist	0.423	0.634	0.49
radiology	0.46	0.574	0.459
radish	0.316	0.398	0.5
radium	0.36	0.517	0.469
radius	0.324	0.5	0.521
radon	0.418	0.375	0.323
raffle	0.51	0.454	0.64
raft	0.229	0.228	0.51
rag	0.226	0.18	0.255
rage	0.888	0.658	0.082
ragemode	0.663	0.454	0.363
ragetweet	0.551	0.431	0.398
ragged	0.519	0.226	0.198
raggedy	0.531	0.314	0.198
raging	0.927	0.598	0.219
rags	0.309	0.198	0.434
ragtime	0.602	0.398	0.469
raid	0.726	0.56	0.35
raider	0.86	0.525	0.302
rail	0.5	0.526	0.47
railing	0.298	0.44	0.551
railroad	0.592	0.5	0.591
railway	0.615	0.623	0.613
raiment	0.402	0.377	0.667
rain	0.388	0.33	0.542
rainbow	0.35	0.462	0.878
rainbow trout	0.462	0.33	0.7
rainbows	0.517	0.402	0.875
raincoat	0.3	0.525	0.458
raindrops	0.337	0.311	0.698
rainfall	0.314	0.378	0.604
rainforest	0.375	0.398	0.612
rainmaker	0.509	0.544	0.448
rainstorm	0.535	0.377	0.392
rainy	0.451	0.433	0.61
rainyday	0.38	0.315	0.52
raise	0.685	0.765	0.885
raised	0.326	0.643	0.656
raisin	0.235	0.246	0.594
raising	0.519	0.643	0.735
rake	0.286	0.314	0.41
rally	0.68	0.554	0.612
ram	0.452	0.388	0.406
ramble	0.464	0.44	0.615
rambling	0.51	0.528	0.448
ramp	0.517	0.357	0.49
rampage	0.875	0.509	0.24
rampant	0.788	0.526	0.49
rampart	0.52	0.538	0.322
ramrod	0.408	0.349	0.406
ranch	0.42	0.409	0.357
rancher	0.52	0.543	0.51
rancid	0.451	0.214	0.156
random	0.52	0.321	0.49
randomly	0.594	0.302	0.41
randomness	0.449	0.433	0.418
randy	0.394	0.481	0.49
range	0.472	0.615	0.49
ranger	0.545	0.705	0.526
rank	0.38	0.686	0.531
ranking	0.592	0.68	0.54
ransom	0.8	0.565	0.582
rant	0.774	0.482	0.219
ranting	0.755	0.5	0.181
rap	0.575	0.464	0.604
rape	0.856	0.527	0.062
rapid	0.788	0.768	0.667
rapidity	0.798	0.806	0.667
rapids	0.817	0.788	0.573
rapist	0.906	0.571	0.062
rapper	0.755	0.482	0.55
rapping	0.716	0.417	0.565
rapport	0.664	0.567	0.771
rapt	0.736	0.51	0.521
raptor	0.773	0.612	0.27
raptors	0.565	0.591	0.28
rapture	0.883	0.567	0.439
rare	0.413	0.236	0.396
rarely	0.367	0.366	0.408
rarity	0.548	0.364	0.646
rascal	0.706	0.445	0.169
rash	0.82	0.491	0.219
raspberries	0.278	0.333	0.802
raspberry	0.336	0.291	0.735
rat	0.567	0.255	0.271
ratchet	0.52	0.343	0.449
rate	0.297	0.407	0.521
ratification	0.577	0.609	0.653
ratify	0.462	0.716	0.75
rating	0.679	0.637	0.663
ratio	0.461	0.741	0.56
ration	0.346	0.39	0.521
rational	0.347	0.632	0.775
rationale	0.4	0.815	0.656
rationalism	0.5	0.676	0.562
rationality	0.51	0.767	0.633
rationalize	0.4	0.746	0.633
rationing	0.404	0.54	0.396
rattan	0.334	0.377	0.434
rattle	0.429	0.268	0.49
rattled	0.641	0.33	0.354
rattler	0.73	0.455	0.396
rattlesnake	0.803	0.613	0.188
ratty	0.45	0.358	0.354
raucous	0.74	0.538	0.316
ravage	0.755	0.575	0.214
rave	0.637	0.42	0.49
raven	0.446	0.426	0.479
ravenous	0.7	0.509	0.406
ravine	0.673	0.413	0.354
raving	0.764	0.358	0.312
ravioli	0.281	0.308	0.656
ravishing	0.833	0.83	0.745
raw	0.349	0.342	0.143
rawhide	0.36	0.327	0.292
rawr	0.635	0.406	0.457
ray	0.67	0.538	0.55
razor	0.61	0.481	0.26
reach	0.625	0.69	0.719
react	0.716	0.717	0.5
reaction	0.811	0.706	0.47
reactionary	0.573	0.69	0.406
reactive	0.817	0.721	0.434
reactor	0.794	0.772	0.438
read	0.283	0.611	0.74
reader	0.224	0.602	0.776
readership	0.306	0.422	0.698
readily	0.29	0.547	0.74
readiness	0.531	0.7	0.708
reading	0.183	0.415	0.781
readjustment	0.563	0.51	0.56
readout	0.25	0.518	0.59
ready	0.388	0.648	0.77
readytogo	0.654	0.578	0.667
reaffirm	0.559	0.654	0.75
reagent	0.698	0.642	0.385
real	0.51	0.717	0.719
realism	0.545	0.67	0.74
realist	0.572	0.809	0.72
realistic	0.52	0.783	0.7
reality	0.365	0.787	0.786
realization	0.51	0.836	0.554
realize	0.462	0.647	0.757
realm	0.509	0.878	0.708
realtor	0.471	0.582	0.429
realty	0.471	0.648	0.633
ream	0.173	0.346	0.49
reap	0.422	0.623	0.677
reaper	0.565	0.464	0.34
reappear	0.625	0.632	0.688
rear	0.52	0.284	0.459
rearrange	0.51	0.729	0.656
rearrangement	0.527	0.769	0.542
reason	0.455	0.712	0.781
reasonable	0.337	0.726	0.902
reasonableness	0.448	0.665	0.729
reasoning	0.365	0.729	0.729
reasons	0.46	0.571	0.583
reassemble	0.54	0.589	0.552
reassign	0.49	0.559	0.359
reassignment	0.48	0.415	0.551
reassurance	0.127	0.593	0.875
reassure	0.306	0.63	0.837
reassured	0.186	0.519	0.854
reassuring	0.308	0.691	0.847
rebate	0.569	0.51	0.667
rebel	0.83	0.555	0.235
rebellion	0.843	0.746	0.245
rebellious	0.88	0.663	0.344
rebels	0.86	0.609	0.135
rebirth	0.712	0.78	0.781
reboot	0.577	0.519	0.673
reborn	0.618	0.737	0.802
rebound	0.48	0.506	0.521
rebuild	0.557	0.519	0.656
rebuke	0.677	0.429	0.115
rebut	0.519	0.573	0.154
rebuttal	0.69	0.54	0.312
recalcitrant	0.624	0.58	0.357
recall	0.351	0.525	0.583
recant	0.575	0.482	0.333
recap	0.578	0.667	0.602
recapture	0.656	0.658	0.333
recast	0.481	0.5	0.367
recede	0.449	0.245	0.231
receding	0.418	0.333	0.224
receipt	0.23	0.415	0.542
receipts	0.333	0.381	0.32
receive	0.462	0.551	0.74
received	0.436	0.561	0.646
receiver	0.464	0.586	0.583
receiving	0.562	0.623	0.719
recent	0.365	0.589	0.592
receptacle	0.451	0.426	0.5
reception	0.375	0.567	0.694
receptionist	0.43	0.385	0.677
receptive	0.519	0.639	0.729
receptor	0.36	0.51	0.417
recess	0.51	0.367	0.646
recesses	0.47	0.379	0.367
recession	0.398	0.373	0.368
recharge	0.702	0.664	0.584
recheck	0.49	0.529	0.44
recherche	0.49	0.363	0.458
recidivism	0.52	0.558	0.245
recipe	0.271	0.415	0.698
recipient	0.324	0.679	0.604
reciprocal	0.52	0.66	0.677
reciprocate	0.46	0.618	0.76
reciprocity	0.673	0.556	0.74
recital	0.44	0.572	0.838
recitation	0.519	0.462	0.708
recite	0.398	0.453	0.688
reckless	0.788	0.279	0.262
recklessness	0.763	0.38	0.292
reckon	0.42	0.472	0.643
reckoning	0.622	0.532	0.418
reclaim	0.724	0.648	0.469
reclamation	0.75	0.548	0.573
recline	0.404	0.418	0.46
reclining	0.312	0.317	0.448
recluse	0.49	0.446	0.24
recognition	0.587	0.726	0.833
recognizable	0.4	0.609	0.625
recognize	0.315	0.6	0.76
recognized	0.458	0.786	0.875
recoil	0.429	0.259	0.089
recollect	0.491	0.602	0.688
recollection	0.337	0.566	0.722
recombinant	0.519	0.463	0.561
recombination	0.492	0.602	0.51
recommend	0.439	0.672	0.812
recommendation	0.388	0.664	0.912
recompense	0.62	0.853	0.844
recon	0.447	0.4	0.5
reconcile	0.47	0.625	0.76
reconciliation	0.57	0.604	0.896
reconfigure	0.5	0.658	0.429
reconnaissance	0.604	0.712	0.729
reconnect	0.548	0.667	0.63
reconsider	0.442	0.582	0.448
reconsideration	0.459	0.611	0.531
reconstitution	0.461	0.783	0.587
reconstruct	0.618	0.718	0.74
reconstruction	0.719	0.667	0.625
reconstructive	0.444	0.722	0.596
reconvene	0.529	0.56	0.49
record	0.421	0.5	0.552
recorder	0.374	0.481	0.551
recording	0.537	0.474	0.573
recount	0.402	0.509	0.479
recoup	0.422	0.575	0.719
recourse	0.337	0.598	0.402
recover	0.51	0.647	0.918
recoverable	0.388	0.709	0.78
recovery	0.402	0.737	0.781
recreate	0.545	0.616	0.724
recreation	0.632	0.66	0.909
recreational	0.686	0.479	0.896
recruit	0.654	0.633	0.551
recruiter	0.63	0.69	0.662
recruiting	0.787	0.693	0.448
recruitment	0.645	0.591	0.479
recruits	0.653	0.593	0.396
rectal	0.618	0.41	0.344
rectangle	0.225	0.438	0.479
rectangular	0.24	0.307	0.438
rectification	0.56	0.695	0.449
rectify	0.48	0.634	0.625
rector	0.406	0.862	0.458
rectory	0.373	0.704	0.49
rectum	0.443	0.491	0.438
recumbent	0.37	0.352	0.429
recuperation	0.418	0.5	0.688
recur	0.5	0.416	0.479
recurrence	0.538	0.615	0.49
recurrent	0.5	0.561	0.552
recurring	0.56	0.445	0.37
recursion	0.58	0.543	0.312
recursive	0.59	0.561	0.459
recursively	0.519	0.618	0.427
recycle	0.392	0.526	0.521
recycled	0.316	0.409	0.561
recycling	0.32	0.509	0.552
red	0.385	0.377	0.427
reddish	0.337	0.328	0.521
redecorate	0.444	0.49	0.602
redeem	0.469	0.491	0.633
redeemed	0.378	0.434	0.625
redemption	0.408	0.545	0.376
redesign	0.46	0.396	0.622
redhead	0.549	0.518	0.677
redheaded	0.52	0.428	0.51
redirect	0.36	0.648	0.469
redneck	0.5	0.348	0.401
redness	0.47	0.417	0.151
redo	0.5	0.535	0.481
redress	0.558	0.649	0.677
reduce	0.304	0.336	0.219
reduced	0.365	0.204	0.229
reduction	0.382	0.24	0.365
redundancy	0.262	0.589	0.316
redundant	0.5	0.527	0.21
redwood	0.35	0.443	0.592
reed	0.35	0.307	0.49
reef	0.49	0.456	0.583
reefer	0.453	0.421	0.5
reefs	0.471	0.455	0.531
reek	0.48	0.311	0.177
reel	0.332	0.395	0.449
reelection	0.673	0.681	0.541
reeling	0.542	0.267	0.327
reenactment	0.592	0.768	0.771
reentry	0.449	0.5	0.604
reestablish	0.49	0.692	0.635
ref	0.38	0.368	0.469
refer	0.358	0.558	0.506
referee	0.644	0.778	0.531
reference	0.312	0.595	0.633
referendum	0.469	0.643	0.51
referral	0.314	0.603	0.694
refill	0.4	0.464	0.67
refine	0.46	0.64	0.653
refined	0.43	0.653	0.85
refinement	0.387	0.709	0.719
refinery	0.444	0.565	0.646
refining	0.466	0.664	0.694
refit	0.577	0.506	0.5
reflect	0.342	0.472	0.698
reflecting	0.408	0.471	0.59
reflection	0.5	0.528	0.71
reflective	0.292	0.735	0.656
reflector	0.51	0.5	0.479
reflex	0.46	0.538	0.583
reflux	0.559	0.347	0.281
reform	0.49	0.797	0.531
reformation	0.5	0.558	0.809
reformer	0.569	0.905	0.562
refraction	0.471	0.526	0.388
refractor	0.541	0.433	0.51
refractory	0.357	0.588	0.52
refrain	0.373	0.277	0.314
refraining	0.453	0.404	0.418
refresh	0.64	0.689	0.719
refreshed	0.377	0.48	0.91
refreshing	0.52	0.571	0.936
refreshment	0.41	0.352	0.667
refrigerate	0.357	0.457	0.635
refrigeration	0.392	0.5	0.735
refrigerator	0.26	0.391	0.677
refuel	0.445	0.5	0.592
refuge	0.238	0.481	0.64
refugee	0.607	0.327	0.379
refund	0.528	0.43	0.541
refurbish	0.633	0.541	0.656
refusal	0.61	0.321	0.052
refuse	0.52	0.331	0.18
refused	0.475	0.188	0.163
refusing	0.67	0.203	0.143
refutation	0.726	0.566	0.312
refute	0.731	0.583	0.312
regain	0.52	0.759	0.729
regal	0.459	0.556	0.643
regalia	0.441	0.556	0.76
regard	0.336	0.809	0.802
regatta	0.471	0.435	0.74
regency	0.472	0.63	0.52
regenerate	0.607	0.767	0.782
regeneration	0.64	0.845	0.76
regent	0.529	0.675	0.68
reggae	0.52	0.5	0.698
regime	0.668	0.773	0.29
regimen	0.538	0.84	0.428
regiment	0.722	0.755	0.469
regimental	0.637	0.817	0.292
region	0.295	0.712	0.54
regional	0.4	0.607	0.62
regionalism	0.5	0.773	0.64
register	0.412	0.654	0.49
registrar	0.537	0.574	0.599
registration	0.396	0.574	0.622
registry	0.32	0.583	0.573
regress	0.442	0.3	0.255
regression	0.5	0.324	0.312
regressive	0.434	0.363	0.302
regret	0.623	0.331	0.23
regretful	0.48	0.188	0.167
regrettable	0.374	0.245	0.104
regretted	0.54	0.368	0.352
regretting	0.567	0.273	0.255
regroup	0.602	0.797	0.633
regular	0.188	0.558	0.435
regularity	0.337	0.585	0.663
regulars	0.327	0.508	0.729
regulate	0.275	0.481	0.51
regulated	0.269	0.483	0.531
regulation	0.425	0.667	0.542
regulator	0.336	0.668	0.5
regulatory	0.448	0.528	0.531
regurgitation	0.647	0.315	0.16
rehab	0.45	0.593	0.531
rehabilitate	0.538	0.642	0.671
rehabilitation	0.528	0.606	0.406
rehash	0.451	0.403	0.405
rehearsal	0.47	0.5	0.667
rehearse	0.622	0.5	0.588
reign	0.567	0.873	0.806
reigning	0.632	0.87	0.677
reimburse	0.418	0.527	0.68
reimbursement	0.61	0.567	0.653
rein	0.357	0.438	0.5
reincarnation	0.747	0.676	0.786
reindeer	0.336	0.396	0.592
reinforce	0.583	0.76	0.604
reinforcement	0.702	0.902	0.729
reinforcements	0.719	0.875	0.646
reins	0.448	0.545	0.48
reinstall	0.5	0.745	0.458
reinstate	0.551	0.596	0.76
reinstatement	0.521	0.707	0.729
reinvest	0.627	0.763	0.57
reinvestment	0.622	0.782	0.582
reiterate	0.451	0.655	0.422
reject	0.647	0.37	0.06
rejected	0.48	0.25	0.102
rejection	0.704	0.33	0.08
rejects	0.637	0.422	0.083
rejoice	0.65	0.698	0.827
rejoicing	0.637	0.592	0.811
rejoin	0.548	0.556	0.655
rejuvenate	0.588	0.767	0.776
rejuvenated	0.673	0.7	0.809
rekindle	0.52	0.788	0.656
relapse	0.46	0.303	0.173
relate	0.5	0.623	0.653
related	0.365	0.519	0.677
relation	0.604	0.625	0.857
relationship	0.566	0.589	0.867
relative	0.378	0.386	0.5
relativity	0.393	0.615	0.594
relax	0.25	0.375	0.927
relaxant	0.087	0.357	0.878
relaxation	0.161	0.381	0.873
relaxed	0.09	0.382	0.865
relaxing	0.157	0.475	0.854
relay	0.542	0.543	0.738
release	0.606	0.741	0.74
released	0.49	0.651	0.844
relegation	0.5	0.434	0.375
relentless	0.713	0.904	0.333
relevance	0.599	0.791	0.71
relevancy	0.481	0.673	0.724
relevant	0.608	0.764	0.719
reliability	0.38	0.696	0.917
reliable	0.241	0.875	0.912
reliance	0.431	0.853	0.844
relic	0.452	0.591	0.646
relics	0.58	0.579	0.719
relief	0.278	0.481	0.844
relieve	0.183	0.536	0.813
relieved	0.314	0.391	0.896
relieving	0.255	0.455	0.74
relight	0.588	0.519	0.56
religion	0.32	0.755	0.646
religious	0.238	0.696	0.74
relinquish	0.606	0.286	0.265
relish	0.61	0.632	0.854
relive	0.65	0.693	0.75
reload	0.611	0.571	0.562
relocate	0.594	0.64	0.5
relocation	0.5	0.475	0.396
reluctance	0.606	0.373	0.24
reluctant	0.63	0.432	0.292
rely	0.429	0.616	0.812
remain	0.365	0.731	0.709
remainder	0.357	0.324	0.398
remaining	0.29	0.296	0.449
remains	0.24	0.565	0.61
remake	0.488	0.642	0.583
remand	0.446	0.318	0.245
remark	0.325	0.716	0.561
remarkable	0.573	0.72	0.88
remarkably	0.618	0.868	0.688
remarry	0.791	0.54	0.653
rematch	0.798	0.627	0.469
remedial	0.418	0.509	0.369
remedy	0.283	0.491	0.625
remember	0.422	0.454	0.776
remembered	0.333	0.588	0.916
remembering	0.386	0.509	0.535
remembrance	0.25	0.519	0.812
remind	0.415	0.563	0.721
reminder	0.423	0.589	0.552
reminisce	0.49	0.363	0.903
reminiscent	0.481	0.611	0.5
reminiscing	0.431	0.418	0.688
remiss	0.65	0.325	0.19
remission	0.33	0.518	0.418
remit	0.509	0.473	0.51
remittance	0.479	0.454	0.684
remnant	0.312	0.388	0.367
remodel	0.647	0.693	0.604
remorse	0.673	0.377	0.103
remorseful	0.429	0.25	0.347
remote	0.333	0.477	0.458
remoteness	0.51	0.339	0.323
removal	0.54	0.368	0.245
remove	0.539	0.472	0.292
remover	0.443	0.526	0.337
remuneration	0.76	0.607	0.792
renaissance	0.67	0.767	0.771
renal	0.48	0.415	0.3
rencontre	0.452	0.463	0.51
rend	0.423	0.385	0.429
render	0.395	0.448	0.541
rendering	0.434	0.667	0.531
rendezvous	0.49	0.658	0.75
rendition	0.36	0.398	0.417
renegade	0.64	0.509	0.14
renegotiate	0.702	0.708	0.58
renew	0.481	0.713	0.868
renewal	0.71	0.672	0.77
renounce	0.49	0.552	0.156
renovate	0.549	0.755	0.878
renovated	0.406	0.657	0.783
renovation	0.59	0.779	0.816
renown	0.475	0.693	0.693
renowned	0.481	0.697	0.844
rent	0.429	0.446	0.344
rental	0.37	0.308	0.51
renter	0.301	0.371	0.59
renunciation	0.578	0.336	0.26
reopen	0.528	0.568	0.656
reorganization	0.587	0.754	0.622
reorganize	0.59	0.722	0.667
rep	0.51	0.64	0.52
repaint	0.382	0.308	0.622
repair	0.46	0.589	0.583
repairman	0.426	0.707	0.582
reparation	0.615	0.732	0.531
repay	0.632	0.592	0.469
repayment	0.49	0.474	0.479
repeal	0.48	0.482	0.26
repeat	0.529	0.552	0.49
repeated	0.472	0.314	0.429
repeatedly	0.575	0.5	0.479
repeater	0.426	0.43	0.479
repel	0.62	0.441	0.224
repellant	0.62	0.426	0.292
repellent	0.5	0.491	0.286
repelling	0.633	0.429	0.184
repent	0.422	0.386	0.449
repentance	0.604	0.324	0.417
repentant	0.5	0.2	0.326
repertoire	0.594	0.667	0.633
repertory	0.473	0.528	0.562
repetition	0.519	0.396	0.375
repetitive	0.438	0.362	0.32
rephrase	0.451	0.549	0.547
replace	0.52	0.5	0.417
replacement	0.519	0.5	0.385
replay	0.522	0.761	0.612
replenish	0.336	0.689	0.615
replete	0.497	0.67	0.552
replica	0.52	0.493	0.48
replicate	0.63	0.585	0.48
replication	0.618	0.51	0.342
reply	0.29	0.596	0.762
report	0.444	0.575	0.583
reported	0.442	0.567	0.418
reporter	0.55	0.604	0.531
repose	0.1	0.33	0.469
reposition	0.529	0.509	0.408
repository	0.396	0.5	0.406
repossess	0.667	0.552	0.418
reprehensible	0.569	0.351	0.316
represent	0.433	0.861	0.781
representation	0.542	0.75	0.677
representative	0.366	0.694	0.704
represented	0.444	0.688	0.724
representing	0.464	0.833	0.796
repress	0.612	0.536	0.208
repressed	0.337	0.311	0.188
repression	0.764	0.481	0.214
reprieve	0.471	0.574	0.531
reprimand	0.528	0.465	0.153
reprint	0.449	0.527	0.51
reprisal	0.788	0.545	0.125
reprise	0.5	0.464	0.459
reproach	0.755	0.384	0.24
reproduce	0.622	0.76	0.823
reproduction	0.736	0.713	0.8
reproductive	0.604	0.856	0.77
reprogram	0.404	0.557	0.519
reptile	0.566	0.365	0.35
republic	0.34	0.83	0.635
republican	0.551	0.664	0.398
repudiation	0.686	0.274	0.167
repugnance	0.684	0.425	0.062
repugnant	0.735	0.453	0.061
repulsion	0.673	0.353	0.247
repulsive	0.775	0.425	0.146
repurchase	0.592	0.557	0.531
reputable	0.462	0.919	0.781
reputation	0.542	0.721	0.74
repute	0.5	0.702	0.729
reputed	0.528	0.627	0.439
request	0.471	0.618	0.625
requiem	0.382	0.426	0.475
require	0.439	0.56	0.398
required	0.509	0.7	0.583
requirement	0.439	0.728	0.51
requisite	0.363	0.609	0.448
requisition	0.51	0.649	0.478
reread	0.377	0.492	0.448
reroute	0.598	0.598	0.54
rerun	0.62	0.529	0.333
reschedule	0.422	0.537	0.438
rescind	0.38	0.391	0.347
rescission	0.529	0.36	0.333
rescue	0.926	0.85	0.806
research	0.663	0.741	0.633
researcher	0.51	0.857	0.569
resection	0.482	0.5	0.375
resemblance	0.216	0.57	0.743
resemble	0.388	0.463	0.602
resembling	0.25	0.529	0.592
resent	0.553	0.163	0.073
resentful	0.608	0.324	0.12
resentment	0.745	0.528	0.163
reservation	0.343	0.561	0.688
reserve	0.289	0.589	0.585
reserved	0.316	0.583	0.594
reserves	0.363	0.52	0.653
reservoir	0.276	0.462	0.531
reset	0.45	0.574	0.49
reside	0.44	0.455	0.451
residence	0.382	0.585	0.615
residences	0.418	0.509	0.618
residency	0.357	0.679	0.694
resident	0.327	0.5	0.592
residential	0.21	0.589	0.72
residual	0.288	0.327	0.448
residue	0.33	0.183	0.354
resign	0.543	0.273	0.25
resignation	0.392	0.31	0.145
resigned	0.17	0.268	0.24
resilience	0.44	0.667	0.531
resilient	0.54	0.801	0.542
resin	0.308	0.4	0.284
resist	0.676	0.651	0.414
resistance	0.694	0.796	0.427
resistant	0.585	0.815	0.592
resisting	0.776	0.789	0.408
resistive	0.519	0.651	0.396
resolute	0.51	0.712	0.771
resolutely	0.453	0.805	0.714
resolution	0.55	0.745	0.78
resolve	0.472	0.75	0.71
resolved	0.357	0.683	0.735
resonance	0.426	0.629	0.541
resonant	0.633	0.663	0.542
resonate	0.61	0.644	0.582
resonator	0.608	0.519	0.469
resort	0.441	0.632	0.573
resounding	0.708	0.596	0.49
resource	0.357	0.749	0.74
resourceful	0.704	0.886	0.906
resources	0.348	0.627	0.604
respect	0.344	0.758	0.927
respectability	0.407	0.912	0.875
respectable	0.35	0.889	0.85
respected	0.441	0.853	0.908
respectful	0.386	0.814	0.951
respecting	0.321	0.72	0.837
respective	0.413	0.721	0.625
respects	0.387	0.824	0.84
respiration	0.377	0.669	0.76
respirator	0.398	0.453	0.433
respiratory	0.45	0.552	0.5
respite	0.373	0.42	0.6
resplendent	0.673	0.755	0.905
respond	0.435	0.594	0.573
respondent	0.455	0.48	0.449
response	0.5	0.472	0.615
responsibility	0.5	0.852	0.76
responsible	0.527	0.833	0.837
responsive	0.569	0.573	0.816
rest	0.167	0.3	0.907
restart	0.519	0.554	0.531
restaurant	0.406	0.5	0.847
rested	0.235	0.462	0.792
restful	0.116	0.413	0.781
restitution	0.542	0.643	0.583
restless	0.81	0.304	0.219
restlessness	0.794	0.397	0.083
restock	0.538	0.645	0.51
restoration	0.426	0.734	0.755
restorative	0.51	0.703	0.633
restore	0.49	0.625	0.765
restored	0.41	0.728	0.892
restoring	0.49	0.783	0.82
restrain	0.696	0.434	0.134
restrained	0.59	0.509	0.354
restraining	0.702	0.672	0.296
restraint	0.618	0.52	0.167
restrict	0.539	0.577	0.115
restricted	0.5	0.407	0.276
restriction	0.59	0.569	0.13
restrictive	0.596	0.5	0.215
restroom	0.279	0.267	0.653
result	0.49	0.652	0.812
resultant	0.441	0.637	0.67
resume	0.411	0.586	0.573
resumption	0.528	0.653	0.637
resurrect	0.725	0.817	0.781
resurrection	0.74	0.759	0.708
resuscitate	0.696	0.818	0.531
resuscitation	0.768	0.795	0.753
retail	0.353	0.411	0.51
retailer	0.439	0.595	0.708
retain	0.451	0.63	0.367
retainer	0.422	0.356	0.396
retaining	0.559	0.632	0.417
retake	0.471	0.591	0.616
retaliate	0.812	0.595	0.111
retaliation	0.812	0.491	0.156
retaliatory	0.865	0.598	0.194
retard	0.347	0.222	0.194
retardation	0.36	0.155	0.125
retarded	0.462	0.161	0.302
retards	0.434	0.218	0.362
retention	0.49	0.558	0.344
retentive	0.482	0.491	0.439
rethink	0.423	0.583	0.48
reticent	0.519	0.5	0.396
retina	0.255	0.342	0.49
retinal	0.343	0.475	0.531
retire	0.392	0.186	0.398
retired	0.259	0.301	0.27
retirement	0.324	0.255	0.25
retiring	0.376	0.214	0.408
retold	0.385	0.352	0.459
retort	0.52	0.481	0.417
retrace	0.482	0.317	0.25
retract	0.443	0.358	0.316
retraction	0.491	0.427	0.312
retractor	0.59	0.557	0.354
retreat	0.519	0.312	0.5
retrenchment	0.65	0.384	0.23
retrial	0.577	0.593	0.5
retribution	0.49	0.708	0.625
retrieval	0.44	0.704	0.7
retrieve	0.576	0.705	0.74
retriever	0.5	0.464	0.459
retro	0.276	0.321	0.65
retroactive	0.452	0.655	0.521
retrograde	0.464	0.415	0.208
retrospect	0.5	0.538	0.406
retrospective	0.481	0.528	0.594
retrospectively	0.4	0.56	0.516
return	0.412	0.463	0.602
reunion	0.5	0.672	0.837
reunite	0.55	0.657	0.656
reunited	0.439	0.658	0.708
rev	0.422	0.353	0.367
reveal	0.637	0.526	0.493
revel	0.705	0.684	0.74
revelation	0.5	0.865	0.879
revelations	0.655	0.6	0.729
revels	0.683	0.647	0.827
revenge	0.94	0.627	0.23
revenue	0.51	0.854	0.873
reverberation	0.639	0.551	0.39
revere	0.562	0.608	0.75
reverence	0.347	0.516	0.643
reverend	0.337	0.576	0.65
reverent	0.49	0.694	0.551
reverie	0.413	0.471	0.667
reversal	0.51	0.591	0.38
reverse	0.415	0.461	0.539
reversion	0.538	0.425	0.458
revert	0.451	0.519	0.38
reverting	0.385	0.544	0.562
review	0.408	0.636	0.667
reviewer	0.344	0.5	0.562
revise	0.469	0.509	0.5
revision	0.459	0.71	0.417
revisit	0.53	0.509	0.552
revival	0.664	0.597	0.823
revive	0.78	0.778	0.676
revocation	0.61	0.673	0.26
revoke	0.696	0.737	0.251
revolt	0.878	0.658	0.343
revolting	0.69	0.3	0.102
revolution	0.902	0.798	0.417
revolutionary	0.887	0.824	0.635
revolutionize	0.816	0.904	0.684
revolve	0.546	0.402	0.592
revolver	0.796	0.75	0.194
revolving	0.57	0.58	0.602
revue	0.35	0.42	0.594
revulsion	0.765	0.343	0.104
revving	0.875	0.879	0.604
reward	0.694	0.783	0.948
rewarding	0.637	0.783	0.958
rewind	0.551	0.431	0.46
