****Dialogues from script :Pianist.txt****

the pianist		 by Ronald Harwood  based on the published memoir by Wladyslaw Szpilman
ellie		I'm sorry, Ike.  This is permanent.
maggie		She canned him, she canned him...
bob		Come here, Mag, and try this on.
maggie		Listen: "Dear Ms. Carpenter, I apologize to you for this unfortunate matter.  Ike Graham's column will no longer be appearing in this paper. Best of luck in you upcoming marriage!"
bob		That-a-girl!  You sacked him.  This is the weight of the pack you're going to have to carry in the Himalayas. Tell me if it's too heavy.
fisher		Ike, I really liked the Runaway Bride piece, and since I do freelance stuff for G.Q., I'm in a different position now...
ike		What are you trying to say to me, Fish?
fisher		Vindication.  How would you like to get some?  A chance to prove that, though your facts weren't entirely straight, your theory was correct.
ike		 The real story on Miss Carpenter.
fisher		All the gory details.
ike		 The anatomy of the black widow spider of Maryland.
fisher		It wouldn't be a bad way to get you back into writing feature pieces again.
ike		 This is good.  It is a good story, Fish.
fisher		 If she runs, then it's a cover story. All true.  All accurate.
ike		 Okay, you were right.  I hated my column, but I can do this assignment.
fisher		Then you've got it.  If you leave tomorrow for the hinterlands, you'll have plenty of time before her next wedding trot.
ike		"Paid vindication"  That's what I call justice.
fisher		Justice, yes.  Paid, I don't know. They like the idea, but my hands are tied with budget restraints.
ike		But I'll get my normal fee, right?
ike		You want me to do it on spec?!
ike		I think I'm in Maryberry.
maggie		Cindy, you better 86 Sprout.  He seems to be enjoying the petroleum distillates.
cindy		That's it.  Back to obedience school.
maggie		 Okay -- have a seat... gently, carefully.
peggy		 You're a goddess!
maggie		I didn't even need to change this gasket, just put in a little hydraulic fluid.
peggy		Stop it.  When you talk like that, I get turned on and it frightens me.
ike		Hello.  I'm looking for Maggie Carpenter.  There was a sign at the hardware store across the street...
peggy		Are you a reporter?
ike		 What?
peggy		 It's been our experience that anyone with some sort of gewgaw on his loafers ends up being another big city reporter wanting to interview Maggie.
ike		About her upcoming wedding and all.
peggy		No, about her getting that asshole from New York fired.
ike		I am just such a reporter.  And you are?
peggy		Peggy Phleming.  Not the ice skater.
ike		And who are these lovely ladies?
cindy		Cindy.  Maggie's unmarried cousin.
peggy		And you are?
ike		 Looking for Maggie.
peggy		Yep.  Maggie -- Someone to see you.
maggie		 Reporter?
peggy		Yup!
maggie		I hope you have a different angle. It's pretty much all been covered.
ike		Originality is my speciality.
maggie		Excellent.
peggy		Hold on -- Nobody interviews Maggie in here unless they're getting haircut.
maggie		She's the boss.
ike		Sorry, no.  I just got one.
ike		 Yes, Mrs. Pressman.
ike		I know.  Tell me something.  Do you think she's going to make it all the way this time?
maggie		She swallowed her gun.
ike		Good fact.  Well, you let me know.
maggie		Well, instead of a haircut, how about a wash?  You know, get all that city grit out of it.
ike		You'll answer my questions?
peggy		Great.
maggie		Have a seat.  Peggy, why don't you give him the special treatment that strengthens the follicles.
ike		Getting nervous?
maggie		Nervous?  Not at all!  No.  I've never been more certain in my life.  Except -- I am having all kinds of weird dreams.
ike		Weird dreams?  You're going to tell me about them?
maggie		Yes.
peggy		 Let's just put this back here for the aromatherapy.
maggie		In another one...
peggy		Hey, Pete, I'll be right with you.
maggie		I'm inside the church.  Everyone I know is there, only they're not really them. They're like Frankenstein monsters, but without the bolts coming out of their necks.  It's all very "Night of the Living Dead".  And here's the creepiest part -- I look down at my dress and it's red.  I mean, I have no idea what it means.  Red's not my color!
ike		I think you'd look good in red.
peggy		No, she's talking about your hair.
maggie		You're all ready for football season, Mr. Graham.
ike		Yes, I think I nailed the personality profile of the women of Hale.
pete		Doc's Pharmacy.  Third and Elm.  Tell him Pete sent you.  Want my hat?
ike		No thanks.
maggie		 He seems crabby.
maggie		If you're looking for Elm Street, it's that way.
ike		Thank you.
maggie		If you came down here in the pursuit of happiness, you might as well go back. Because you can't make me feel bad.
ike		I'm not here to make you feel bad.  I'm here for vindication.  In my heart...
maggie		You have one?
ike		I feel I'm right about you.  You got me fired, lady.  You destroyed my reputation and you screwed up my hair. You chew men up, spit them out and loved it.  And I'm down here to satisfy myself on that point.
maggie		Did something happen to make you care about reality?
ike		Yes.  Conviction.  Conviction that I'm onto the truth.  You're going to do the same thing to "poor bastard number four" that you did to the last three.  You're going to run again.  And I'm not leaving until you do.
maggie		You're going to be very disappointed.
ike		We'll see.
maggie		I'd love to stay and chat, but I've got to get back to work.  I still have my job.
maggie		I have nothing to hide, Mr. Graham. Talk to whoever you want.  You might actually stumble upon a fact or two.
ike		Hey, kid, I'll give you ten bucks for your hat.
walter		You know, when I only see one dog, I know I've had too much to drink.
maggie		You'll never guess who came crawling into town with his tail between his legs.
walter		In other words -- he's only human.  An he brought us a bottle of wine.
ike		They made me put my hat back on.
walter		Oh, yeah.  Scared the hell out of Skipper.
maggie		You've got to be kidding me.
bob		 It wasn't that funny.
maggie		So, the forces of good and evil have already met.
bob		I'll help you take into the kitchen.
grandma julia		Check on the crabs, Bob.
ike		Gee, I hope they don't have a fight out there.  You don't think they'll call it off...?
walter		Well, wedding cake freezes.  This we know.
ike		You know, your daughter seems...
grandma julia		Sorry.
ike		That's okay, Grandma.
walter		Like her mother.
ike		 I just can't see her leaving multiple grooms in the dust like that.
grandma julia		Oh, yes, you can.  She's has 'em all on tape.
ike		She has a tape?
walter		 Yeah.  Lee at the hotel videos wedding. I mean Maggie didn't know she was going to make the hundred-yard dash.
ike		Dad's fishing trip, Grandma's knee operation, Grandma's birthday...
walter		Gotta tell you this about my daughter. My daughter makes real good time, even in a long dress and heels.  Maggie may not be Hale's longest running joke, but she certainly is the fastest.
grandma julia		 Ha ha.
maggie		This is good, Dad, don't leave anything out.
walter		So I've come to see it as a bonus, really, that we've been able to plan, and pay for, so many weddings.
maggie		Not this one.  This one's on me.
ike		That's fair.
maggie		Despite what you think, I don't do it on purpose.  And I have no intention of doing it again.
bob		That's right, Maggie.  Just keep your eye on the ball.
ike		Ahh.
bob		 I'm the town's unofficial fitness trainer.  Big advocate of the mind and body combining for success.  You could say or you can quote me, I'm a glass half full king of guy.
maggie		 Bob's the head of the P.E. department at the high school.  And he coaches the football team.  And he's climbed Everest.
ike		 Everest.  Is that right?
maggie		Twice...
ike		Really?
maggie		 Without oxygen...
bob		My girl likes to brag about me.
ike		How romantic.
maggie		 We think so.
ike		Nothing like sharing your nuptial bed with two Sherpas and a yak.
ike		 You won't believe what I'm looking at, Fisher.  A videotape of all three train wrecks.
ike		Kamikaze!
ike		Did you see that?
maggie		No, he's no good.  Too blond.
maggie		Too dark.
ike		But he's got the Bobster's eyes.
ike		Let's see... Excuse me, isn't that cute? Ahh...
ike		Yes, I am.  And who are you?
ike		 Oh, Betty.  I take it you're going to be making the wedding cake and they say you're throwing --
maggie		 Grandma made me the cutest outfit.  I can't wait to show it to you.
ike		 A pre-wedding luau?
ike		Fun?  Fun isn't the word.
maggie		No, I'm sure he doesn't.
ike		 Thank you.  Thank you so much.
maggie		 Is that what you're going to do now? Follow me around everywhere I go?
ike		No.
ike		Bye, Betty.  Thanks.
maggie		He's not a nice person.
dennis		 Maggie, don't marry Coach!  Marry me. I love you.
maggie		You're jail bait, Dennis.  Go away. Run your laps.  Go. Go.
bob		Drive!  Drive!  From your hips, get low, get low, get low.  Next!
maggie		 What is he up to now?
bob		Ike just came by to check out the team.
ike		And talk about you.
maggie		Bob -- are you making friends with this man?
bob		I'm just bragging about how great you are.  I'm the luckiest man alive.
ike		Well -- I've got to get moving -- lot of work to do today!  I'll see you two love-birds later.
bob		See you at the wedding.
ike		You bet ya, Coach.
maggie		At the wedding?  You invite him?  Bob, don't you realize he's writing another article about me?
bob		Sure I do.  But the bet defense is a good offense, right?  You're not going to let your opponent throw you off your game.
maggie		You don't understand this guy.
bob		Let him come to the wedding.  You're not running, right?  Say it. "I'm not..."
maggie		 I'm not running.
bob		So if you're not running and Ike Graham is there to see it, then any article he writes has got to have a happy ending, right?  All we're doing is turning lemon into lemonade.
maggie		I've got news for you.  No amount of sugar and water is going to turn like Graham into something you want to take on a picnic.
bob		Where's that homemade sunshine?
maggie		Bless me, Father, for I have sinned. My last confession was... ahh...
priest		Of an impure nature?
maggie		No -- like -- I'm having a problem with that whole turn-the-other-cheek concept. I want revenge.  I want to destroy this guy's life, career, everything. On the sin scale, how big is that?  I mean, can I "Hail Mary" my way out of it?
priest		Child, any sin in one's heart is...
maggie		 The name's Maggie.  It wasn't this side of ten years ago that you had your tongue down my throat.  So don't call me "child", Brian.  It annoys me.
maggie		 Brian, open up.  Don't ignore me.
brian		You're not even Catholic, Maggie -- you really shouldn't come to confession.
maggie		I'm sorry.  I'm just so stressed out about that slime-ball reporter being in town.  I jus had to come warn you he might show up here and start asking you all kinds of ridiculous questions.
brian		Actually, he only asked me one ridiculous question.  The rest weren't so bad.
maggie		 What?  You talked to him!  Did you tell him we dated before you were a priest?
brian		Yes, yes, I'm sure I only did you good, Maggie.
maggie		What did he ask?
brian		No, no.
brian		Only respectful things.  What did we have in common back then... What kind of music did you like... Did you ruin my life when you left me standing at the altar...
maggie		And what did you say?
brian		How could I be angry at you when clearly what has happened to me is as God intended?
maggie		 Good one!  Thanks.
brian		It happens to be how I feel.
maggie		God... Of course.  I'm sorry -- I mean, I'm...  Brian -- I've got to go.  The man's a lunatic, but I know exactly where he's going next.
brian		God bless you, Maggie.
maggie		Oh, wait, my purse.
brian		He wanted to know how you used to like your eggs.
maggie		Weird.  Like after all those years you would remem--
brian		 -- Scrambled, with salt, pepper and dill.  Same as me.
maggie		 I'm really sorry that I hurt you, Brian.
brian		I'm happy here, where I'm supposed to be.  But if you ever become a Catholic, may I ask you a favor, Maggie?
maggie		Of course.
brian		Could your confess to Father Patrick from now on?
maggie		Of course.
maggie		Gill?  Lydia?  Gill?
gill		Hey -- I found it!
maggie		Found what?
gill		Mags!  Hey, look -- The tape from the Radio City Music Hall concert -- Remember that night I as trying to get Jerry to let me sit in on "Ripple"?
maggie		 ... Don't show him that picture of me at the concert in San Francisco --
gill		We went to San Francisco twice. Remember one time we had a flat tire... Which picture?
ike		 And I see there was a chill in the air.
maggie		Give me that!
ike		But the most interesting thing here is that I don't see the rose tattoo that I've heard about on your back.
gill		Ike bet me fifty bucks you don't still have it, Mags.  I said "You're on, man! Maggie loved that thing!"  And I could really use fifty bucks.
maggie		I'm not gonna show you guys anything. I am a soon-to-be-married woman.  Now give me that photograph.
ike		Sure, I would love to give this to you. Just give us one quick gander at that rose, and, I'll gladly hand it over.
maggie		Fine.  Here.
ike		Completely.
gill		Maggie?  You got it removed?
ike		Gill, I'll go ya double or nothing if was a stick-on.
gill		 Maggie?
maggie		 I'm really, really afraid of needles... It doesn't make me a bad person.
gill		Look.
ike		 Look, look, man.  I think the man is heartbroken.
maggie		He is not!
gill		I think I am.
ike		Jerry.  He'd play.  He'd play... Jerry would play his heart out.
maggie		Okay, he's on base.  Can we talk about my life now?  -- Ike's going to turn that tattoo stuff into a big deal -- that I was never serious about Gill, blah blah.  He's totally out to get me.
peggy		For what reason?  Some personal satisfaction?
maggie		That's what he says, but if he thinks that I don't realize he's writing another article, then he's an idiot.
peggy		It's probably because you got him fired.
maggie		 Ya think?
peggy		Not that he doesn't deserve to get fired... Look!  Cory's going for second!... Sneaky!
maggie		There he is.  Snoop Doggy-Dogg.
peggy		Where?
maggie		Over there.  Ten o'clock.  He's talking to our little Dennis.  Dennis will turn into one of those "sources say" things.
peggy		He looks better with that stuff out of his hair.  He's an attractive man.
maggie		I'd say you've been in the sun too long. You handle him, okay?  I could use five minutes off from that creep.
peggy		Okay, that's fine.  I can do that.
ike		Hello, Peggy Phleming, "not the ice-skater".
peggy		 That's Maggie's seat...
ike		... And this is Maggie's beer.
peggy		Have you listened to his morning show, "Wake up with ballplayer"?
ike		Not yet.  I had a phlemless morning.  I hear he's a pretty good ballplayer.
peggy		This game is pretty important to him. He made all-stars in high school, you know.
ike		That must have made you proud.
peggy		He was going with Maggie back then.  He was never one of her... I mean, they were never going to get... They just dated for a while.
ike		It's nice that they're still friends.
peggy		 Oh, sure.  That was a long time ago. See, she's not a man-hater at all. She's very supportive of men...
maggie		You've been here for three minutes. What did you do to her?
ike		You can turn that finger around.
maggie		 You misinterpret everything.  We've all been friends our whole lives.  But that's the types of relationship you wouldn't understand.
ike		Obviously, I'm not the only one who doesn't understand it.  The USS Maggie leaves quite a wake... Excuse me.
maggie		See, I cheer good.  What is he, a cheer critic?
maggie		 This guy never stops.
maggie		Lee, hey, wake up.  Give me the key to the reporter's room.  I want to snoop around.
lee		 Okay.  Second floor.
maggie		Thanks.
lee		Don't take anything big.
maggie		 Bite me, paper boy.
ike		All right, I know you're in there... You steal my research... You're messing with the first amendment now.  Open up. Open up.  You got no place to go.
ike		I want to have a very serious discussion with you as to why you're such a pain in the ass.
maggie		You do that.  And remind him he's bringing the wine to the luau.  Thanks.
maggie		Do you think I flirt with Cory?
peggy		Good morning to you, too.  You look good.
maggie		Thank you.  Do you think I flirt with Cory?
peggy		Yes.
maggie		I don't mean it.
peggy		I know.  I think sometimes you just sort of spaz-out with random excess flirtation energy and it just lands on anything male that moves.
maggie		On anything male that moves?  As opposed to anything male that doesn't move?
peggy		Like certain kinds of coral.
maggie		I'm going to kill myself.
peggy		Why?
maggie		Because you think I'm all like... "Hey man, check me out".
peggy		 No, I don't think you're like, "I'm charming and mysterious in a way that even I don't understand and something about me is crying out for protection from a big man like you".  Very hard to compete with.  Especially to us married women who have lost our mystery.
maggie		But you haven't lost your mystery! You're very mysterious!
peggy		No.  I'm weird.  Weird and mysterious are two different things.
maggie		But I'm weird.
peggy		No.  You're quirky.  Quirky and weird are two different things.
maggie		Peggy, there's distinct possibility that I might be profoundly and irreversibly screwed up.  Despite that, I love you and I can promise that I will no longer flirt with Cory, and I beg your forgiveness.
peggy		I'm not worried about you and Cory or Cory and me or even that you're irreversibly screwed up.  But, Maggie, you've been like this since we were kids.  And I think now that you are aware of it and that it hurts people's feelings, maybe it's time to move on with your life and commit to someone of your own, like Bob, if he's the one.
maggie		I think you're right.  Is there anything I can do to make it up to you?
peggy		Something that brings warmth to my heart.  Duckbill platypus.
maggie		It's only funny at Camp Birchwood at three in the morning at a tick hunt. It's not anymore.
peggy		You're right.  It's not funny now. Maybe we both grew up.
maggie		Thanks.  Will you fix my hair?
maggie		Freeze.  Hold on to those covers -- I didn't come here to see Ike Junior.
ike		I take it the desk clerk is one of your many admirers.
maggie		 How do I do it?  I'm not that beautiful.
ike		Coffee.  Now.
maggie		You're welcome.  Your notes made interesting bedtime reading -- if you like trashy fiction.  Your observations are distorted, ungrounded an incomplete. You must be very proud.
ike		I'm not a boastful man.  What's your point?
maggie		My point is that one again, you're getting it all wrong.  That won't improve your reputation any, and it's not very flattering to me either.  So, I'm going to give you a chance to write the truth.
ike		Really.
maggie		I've decided to cooperate and let you interview me.  For a thousand bucks.
ike		My magazine doesn't pay because for stories.  It's not what you call ethical.
maggie		Oh, but making up the facts as you go along is ethical?  Actually, I meant you.  You probably got severance or expenses or both.  I'll take your check. No credit cards.
ike		 You've seen the post-its.  I've already got more juicy material than I need. Why should I pay you dollar one?
maggie		Because I think you're writing on spec and with a first person interview, you might actually sell that thing.
ike		Too much.
maggie		Seven-fifty.
ike		Five hundred.
maggie		Six-fifty.
ike		Done.
maggie		Pardon the mess.  I haven't cleaned since the fifth grade.
maggie		It's a birthday present for my cousin. Put your finger in.
ike		Cindy the manicurist.
maggie		No, the other one.
ike		 This is wonderful.  You reconfigure all these industrial parts and you do something amazing with it.
maggie		I think so.
ike		I like it.  This whole thing is pretty incredible.  I think you could probably sell this lamp idea in New York.
maggie		Maybe someday.
ike		You afraid to try?
maggie		 No, I'm not afraid.  Just... Maybe someday.
ike		Well, I'm impressed.  Absolutely incredible.  I didn't expect pink and lacy, but this isn't exactly a woman's room.
maggie		What an incredible chauvinistic observation.
maggie		That's Brian's.  He took me ut canoeing on the lake and gave me the ring in a velvet box.
ike		Always a mood killer.
maggie		Still sweet.
ike		 It's a little "Silence of the Lambs" for me.  I can't believe you waited for the wedding to run.
maggie		He's an entomologist!  I thought it was very unique.
ike		Wait.  Don't tell me.  The scoreboard lit up with "Mary me, Maggie."
maggie		It was one of the most wonderful moments of my life.  Cal Ripken even applauded.
ike		 Highly suspect.
maggie		What do you mean?  It was incredibly romantic!
ike		Maybe it's just me, but -- if you got to dress it up, it doesn't ring true.
maggie		I like it.
ike		I'm a work in progress.
maggie		So?  Is that what you said to her?
ike		No.  I think I said something eloquent like, "So, uh -- maybe we should, ya know.  What do you think?"
maggie		Now that's romantic.  A proposal like that and you didn't find eternal bliss? What went wrong?
ike		I don't know.
maggie		You don't know.
ike		No.
maggie		Maybe you should ask her some time. Ever thought of that?
ike		Call me crazy, but I believe that check I gave you entitles me to ask the questions for a while.
maggie		Fair enough.  Actually...
ike		Ow!
maggie		Even with everything that's happened I've still never been married and I still deserve a beautiful dress.
ike		Agreed.
polly		 She'll be the prettiest little flower girl in your daughter's wedding.
maggie		Mr. Whittenmeyer.  Hi, Polly!
polly		Hi, Maggie.  You'll have to excuse her, Maggie.  Some of the children are afraid of you since you dragged that little boy up the aisle.
maggie		I didn't drag.  He tripped on his shoelaces.
maggie		 Actually, I would like to get this dress.
maggie		 Yes.  But I've changed my mind.
maggie		I have one thousand dollars.
maggie		Is this dress for sale?
maggie		Yeah, that's a good point.  The other dress is nice.
ike		Mrs. Whittenmeyer.  May I talk to you for a second?
ike		Perfect.  Because Miss Carpenter is here to buy one.  But not just any one. She wants that one.
polly		 It's a thousand dollars.
ike		Tough to spend money in this town.
ike		 You look... uh... You look fine.
maggie		Fine.  The newspaper's upside down. That's better than fine.
ike		Bob will be very happy.
maggie		Bob!  I almost forgot!  I have to meet Bob!
bob		Mrs. Pressman, I think we're ready to order.
bob		Let me have the garden omelette.  Egg whites only.
maggie		I'll have the same.
ike		 Of course.
maggie		What was that?  I can't order  my eggs without sarcasm?
bob		Neutral corners you two.  You're on the same team now.  Any more fighting and it's fifteen minutes in the penalty box.  That's what we're working on -- focus. Right, Maggie?  Focus on Maggie.  Focus on Bob.
maggie		 Right.
bob		 I lead Maggie through a visualization exercise.  All the sports shrinks use this head stuff.  Visualize the end zone, if you catch my drift.
ike		Tell me.  When you get to the altar, will you spike the bouquet?
maggie		You know, there's no...
ike		Well, I'm off.  A reporter's work is never done.  Mrs. Pressman, thank you.
maggie		Ike... Hi, Grandma.
ike		Gram here was going to give me the skinny on why you run from marital bliss.
grandma julia		Right, cover your ears, Netta.  It's not that she's afraid of the wedding, she's afraid of the wedding night. Innocent girls are terrified of "the one-eyed snake".  Why, when I was a virgin bride, I took a knitting needle with me into the bed...
maggie		Actually, Grandma, I charmed the one- eyed snake awhile ago.
grandma julia		Oh, yeah, I forgot.  I'll tell you one thing, your grandpa didn't forget that wedding night.  You can take your hands off your ears, Netta.  Your tea's getting cold.
maggie		Can you excuse us a minute?  May I have a word with you, please?
ike		Bye, Netta... Bye, Grandam.
maggie		I found this and didn't know if it was something interesting.
ike		 Oh, my God -- It's Miles Davis.  This is "King of Blue"!  This is the original recording.  Hard to find in good condition.  Where did you find this?
maggie		 It was in the attic.  It was jus sitting there gathering dust.
ike		It's valuable.  Hang onto it.
maggie		No.  You take it.
ike		Hmmm... Figuring out what kind of music I like and then finding me a rare album. You're not trying to soften me up, are you?
maggie		No -- I'm cleaning an attic.  I wouldn't attempt the impossible.
maggie		 C'mon.  Let's go.
walter		 I haven't had any fun since you got your driver's license...
maggie		I'm not exactly having fun, either... Steady.
walter		 Good boy, Port Hole.
maggie		His name is Skipper, Dad... Steady.
walter		I changed it.  That guy has a problem... Maggie, you can run everyone's life but your own.
ike		No.  Forget about it.  Don't even think about it.
maggie		Watch your leg, Dad.  I'm so tired of this.
ike		Why don't you let him sleep it off in the trunk. I'll take you for a ride. Then we'll come back for him.  Keep an eye on him.
drunk man		I'm too loaded.
ike		I was talking to the dog.  All right?
maggie		Okay... I'll just grab my jacket.
ike		My dad managed a business and two mistresses.  He wanted me to be a novelist.  More?
maggie		Your filter's clogged.  This takes unleaded.
ike		Can you fix it?
maggie		First I have to find some tools.  I need a half and a nine-six-tenth.
ike		 Of what?
maggie		 Wrenches.  My dad's gonna love that one.
ike		Kind of isolated.
maggie		Yeah.  It's kind of nice.
ike		There's one thing we New Yorkers know how to do is hail a cab.  If there's no cab, we walk.
maggie		I can get some tools over there.... and save the battery... There's one thing we country girls know how to do is cut across a field.  It's quicker.
ike		Snakes?  Are you serious?  I don't like snakes.  I've never even seen a snake.
maggie		Do you think there's only one right person for everybody?
ike		No.  But I think attraction is too often mistaken for rightness. Attraction is very misleading.  And if it's mutual, it's well, terribly distracting.
maggie		Yes it is.  And it doesn't mean anything.
ike		Yeah, we need a half and nine- sixteenths.
lionel		Gonna bust out of another wedding?
ike		You're sure well known around here.
fisher		 Yes, well, my theory was that she may be running because she gets attention... Negative attention is attention. Like when women whack you on the street because of your column, that's negative attention.
fisher		 No, I'm paying for the dress.  Do you think she's still gonna run?
ike		 Look -- I'll be in there later today. I'll come by and tell you all about it.
ike		 Yeah.
ike		 Okay, we'll order out.
ike		Get this man a Kamikaze.
george		Splendid dissection of Maggie Carpenter, very professional job.
ike		 You could have told me you were fiance number three.
george		And end up in the papers?  I've been humiliated enough already to last a lifetime, thank you.  I'm sorry she got you canned.
ike		Thanks.
george		She's a cacophony of contradictions.
ike		Well, I'm writing another article on the cacophony.
george		Ah, can't stay away from her, can you? Like a moth to a flame.
ike		Guess you'd know about that.  You're an entomologist, right?  How's business?
george		 Not bad.  I was traveling around studying the reproductive and migratory patterns of locusts when Maggie met me.
ike		 Neuter a locust, feed the world.
gorge		Not the world.  Just Africa and China.
george		Same as you said.  What did you call her?  A "man-eater", "a devouring death goddess."
ike		I don't think that's why she ran.
george		Why do YOU think she ran?
ike		I don't know.  I'm working on it.  I was on the wrong track.
george		And you defending her?
ike		No.  I call it like I see it.  I'm a journalist.  I'm a truth teller.
george		Unbelievable, she got to you.
ike		Oh, please!
gorge		Join the club.  Here, you need this more than me.
ike		 I'm writing an article, I'm getting paid to do this, it's going to be a cover story, it's going to be published ... The facts will be read someday.
george		Poached, just like me.
fisher		 Overpriced nice apartment and Chinese takeout.  That's New York living.
ellie		 Ike, how is the story coming?  Is she a man-eater?
fisher		Or a vegetarian?
ellie		Or does she pick "NGB'S" -- "Nice Guys, But..."  Nice guys, but I'm cheap. Nice guys, but he lives with his mom... Nice guys, but he just out of prison.
ike		No... They're interesting guys.  Each one of these guys has something going for him.  I mean, one's been up Everest. Another's become a priest.  One's a pretty good guitar player.  And this guy today tried to end world hunger, if you can believe that...
fisher		Whoa, Ike.  Getting a complex, buddy?
ellie		Fisher, let him talk.
ike		 But one of those guys -- not one of them -- knew her at all.  Each one was convinced that she was perfect for them, but they didn't see her.  And she never showed up so they couldn't see her. It's a very symbolic thing happening. She becomes what she thinks they wanted to be.
fisher		 Ike is turning sensitive and I can't bear to watch.  I'm going to make a fresh pot of tea.
ellie		 Fisher, don't forget the fortune cookies.
ike		Is that what I did to you?  Is that what happened?  Did I just not see you?
ellie		No.  No, you didn't.
ike		 Well -- I'm sorry, I'm really sorry, Ellie.
ellie		I'm sorry, too.  Wow.  That only took us between years to say.
lou trout		Welcome to our annual country luau.  As you know, Betty and I got married on the rim of the crater, Diamond Head.
peggy		Lighten up, wahine.
maggie		Lighten up, what?
peggy		This party is for you and Bob.  Get your mind off the reporter.
maggie		I haven't seen him in twenty-four hours. It just gives me the creeps a little bit. I'd feel better if I knew where he was.
peggy		 Would it?
maggie		 I like those grapes.
lou trout		Hey, Mr. Graham, welcome to our luau. What can I get you?
ike		You got something without a toy in it?
ike		Aloha.  That's a very fetching headdress you're wearing.
maggie		Where did you disappear to?
ike		Missed me bad, huh?
walter		In the tradition that has grown through the years, it is now Toast Time!  First up, our host, "A Honey of a Beekeeper", Lou Trout..
lout trout		May the groom's heart be filled with hopes and the bride's feet be filled with lead!
ted		May the back of the dress be as pretty as the front!
walter		You know the old saying, "You're not losing a daughter..."  Well, I'd like to!
ike		I don't know, give me a minute.  Are you all right with this?
maggie		Excuse me?
ike		Are you all right with this?  You think this is funny?
maggie		Yes.
ike		I don't and I don't think you should...
bob		It's a joke.  They're kidding.
ike		You want me to make a toast?  Okay... I'll give you a toast.  To Maggie's family and friends.  May you find yourselves the bull's eye of an easy target.  May you be publicly flogged for all of your bad choices and may your noses to rubbed in all of your mistakes...
cory		Hey, Bob.  I got twenty dollars bet on--
bob		Not now.
peggy		 Here.  She may need this.  It's not really Hawaii.
bob		Where'd Maggie go?
peggy		Oh, she just went to get me something from the car.
ike		I'm the only goddamn person in there pulling for you.
maggie		You humiliated me!
ike		No, Maggie, I defended you. Humiliating you is what everyone else is doing.  It's the theme of this party.
maggie		I had it under control.  Now they feel sorry for me.
ike		Well, they should.  Because they're about to watch you hang yourself again.
maggie		It's fun!  It's high.
ike		Or the sexual habits of locusts?
maggie		That was very interesting research George was doing!
ike		What kind of Dead Head gets a temporary tattoo?
maggie		I already explained about that.
ike		And where you ever really going to run the leper colony in Molokai?
maggie		 Brian told you that?
ike		Or maybe you just wanted to wear the headdress.
maggie		Every one of those times I was being supportive.  Something you won't understand.
ike		Supportive?  You weren't being supportive.  You were being scared. Just like now.  You are the most lost woman I have ever laid eyes on.
maggie		Lost!
ike		That's right.  You're so lost you don't even know how you like your eggs.
maggie		What!?
ike		With the priest, you liked them scrambled.  With the Dead Head, fried. With the bug guy, poached.  Now it's egg whites only, thank you very much.
maggie		That's called changing your mind.
ike		No, that's called not having a mind of your own.  What are you doing, Maggie? You really want to let that man drag you up Annapuma on your honeymoon?  You don't want to climb Annapuma.
maggie		Yes I do!
ike		No you don't.  You want a man who will lead you down the beach with his head over your eyes just so you can discover the feel of the sand under your feet. You want a guy who will take you into a cave with a thousand candles just to read you a poem.  You want a man to wake you up at dawn because he's burning to talk to you and he can't wait another minute to find out what you'll say.  Am I right?
maggie		Stop.  Stop it!  I'm getting married on Sunday, and you're just trying to make me run!  Why?  Because you're a cynical, exploitative, mean-hearted creep who wouldn't know real love if it bit him in the armpit!  And all you do is tear other people down and-and-and laugh at them, and criticize what they do, because you're too afraid to do anything yourself!  I read your column. You never wrote one about you.  I'm not the only one who's lost and you know it! Am I right?  Well?  Am I right?
bob		Mag.  Help me out here.  Green Bay. Right guard.
maggie		Yes.
bob		Let me take you back inside, okay?
maggie		Jerry Kramer.
cindy		Tell me, why does Maggie need another wedding rehearsal and two days before the wedding?  She's already done this.
peggy		Bob is making her visualize the ceremony.
bob		 Okay, we're ready.  Want me to have Ike leave now?
maggie		No.  No -- Actually, let's make Ike the pastor.
ike		I'd rather not.
maggie		 Hey.
bob		Team effort, Pastor Ike... Cindy, ready?  Cindy, come on.
peggy		He's going to be the pastor?
maggie		Yep.  I want him to be front and center and to watch everything.
peggy		What happened at the luau?
maggie		 What's this?
peggy		It's for the bell.
cindy		Bob's in a hurry.
peggy		Don't be nervous, Maggie.  Let us visualize.  Remember what Bob said? "Be the ball."
cindy		"Sink the putt."
peggy		"Make the shot."
cindy		"Nothing but net."
peggy		"Never say die."
maggie		Go!
bob		Honey, are you okay?
ike		 At this pace, it could be an evening wedding.
bob		Hold it!  Hold it!  I think we're taking this too fast.
maggie		 Yes, I'm spiraling through the air.
bob		Okay, I'm the pastor.  Dearly beloved, blah, blah, blah.  So on and so forth. Ra ta ta ta.  Yabada dabada.  I now pronounce you man and wife.  Kiss the bride, badum dum.  We have the crescendo that leads to us right back down the aisle and out the...
ike		 I'm sorry, Bob.  She kissed me back.
maggie		 I kissed him back.
bob		Yeah, I caught that.  Want to tell me how long this has been going on?
maggie		About a minute...?
ike		A little longer for me.
maggie		Really?
bob		What do you expect me to say to this?
ike		How about -- "I hope you'll be very happy together"?
bob		I hope you'll be very happy together.
maggie		 Take care of him.
