****Dialogues from script :Miami_Vice.txt****

first draft		9/22/04 WGAw
karen		You believe that?
foley		Why not?
karen		You know that Sig .380 you took was my favourite.  My father gave it to me.
foley		I don't know.  I hadn't worked that part out yet.  All I knew was that I liked you, and I didn't want to leave you there, never see you again.
karen		You waved to me in the elevator.
foley		I wasn't sure you caught that.
karen		I couldn't believe it.  I was thinking of you by then, a lot, wondering what it would be like if we did meet.  Like if we could take a time-out...
foley		Really?  I was thinking the same thing. If we could call time and get together for a while.
karen		Where?
foley		Outside Adele's.
karen		You were going to see her?
foley		To warn her about Chino.
karen		So she did help you?
foley		I don't think we should get into that.
karen		No, you're right.  Or Buddy.  I won't ask if he's with you or what you're doing here in Detroit.  Or if you've run into Glenn Michaels yet.
foley		Don't talk like that, okay?  You scare me.
karen		Come on.
karen		Are you gonna leave your tie on?
foley		My God, look at you.
foley		You coming back?
karen		I'm just going to the bathroom.
karen		I want you to know something.  I wasn't looking for just a fuck, if that's what you're thinking.
foley		Why are you mad?
karen		Or I did it for some kind of kinky thrill.  Score with a bank robber the way some women go for rough trade.
foley		What about my motive?  Now I can say I fucked a US Marshal.  You think I will?
karen		I don't know.
foley		I know of a guy he goes in the bank holding a bottle he says is nitroglycerin.  He scores some cash off a teller, he's on his way out when he drops the bottle.  It shatters on the tile floor, he slips in the stuff, cracks his head and they've got him. The nitro was canola oil.  I know more fucked-up bank robbers than ones that know what they're doing.  I doubt one in ten can tell a dye pack when he sees one.  Most bank robbers are fucking morons.  To go to bed with a bank robber for kinky thrills, as you say, you'd have to be as dumb as they are.  I know you're not dumb, so why would I think that?  Why would you think I might think that?
karen		You're not dumb.
foley		I don't know about that.  You can't do three falls and think you have much of a brain.
karen		I'm trying not to.  I just wanna know what's gonna happen.
foley		 You know.
karen		Oh, for Christ sake, grow up.
buddy		It took you, what, seven hours to buy a pair of shoes?
foley		I saw Karen Sisco.
buddy		And she saw you?
foley		Yes, she did.
buddy		So how's that work, a wanted felon socializing with a U.S. Marshal?
foley		You know how I felt about her.
buddy		Did you give her a jump?  If you did I might begin to understand where your head's at.
foley		It wasn't about getting laid.  I just wanted to know what might've happened if things were different.
buddy		You find out?
foley		Yeah, I did.
buddy		So what's that mean?  That you're disappointed by what you found or you're sorry you robbed all those banks?
foley		I don't know.
maurice		Stick and jab, stick and jab!
glenn		I got to go take a piss.
karen		Glenn, are you trying to steal this car?
glenn		Jesus, I don't believe it.
karen		Another one of those days, huh, nothing seems to go right?
glen		I don't have the keys.
karen		I see that.
glenn		I mean I'm not stealing the fucking car.
karen		You're not?
glenn		I already stole it.  Last week or whenever it was, in West Palm.  I can't be stealing it again, can I?
karen		The two guys you were with -- that one, that isn't Maurice Miller, is it? I've seen Snoopy's mug shot and that didn't look like him.
glenn		Jesus.  How'd you know about Snoopy?
karen		Glenn, I know your life history, who your friends are, where you've been and now, it looks like, where you're going.  Put your hands on the wheel.
glenn		You're gonna bust me for picking up a car?
karen		For the car, for aiding and abetting a prison escape, and conspiring to do whatever you came here for.
glenn		Listen, these guys, they're gonna be out here any minute looking for me. They're fucking animals.
karen		What's going on, Glenn?
glenn		Nothing.  I just wanna get the fuck outta here.
karen		But I thought the whole thing was your idea?
glenn		Rippin' off Ripley was my idea, but these guys, man, they're into shit I can't handle.
karen		Ripley?  You mean the wall street guy?
glenn		Yeah, the plan was to pick him up at his office tomorrow, take him out to his house in Bloomfield Hills.  Now, I don't give a shit what they do.
karen		And is Foley a part of this?
glenn		He's supposed to be, but he hasn't shown up yet, which is a good thing for him.
karen		Why's that?
glenn		Maurice is gonna kill him, try and collect the reward.
karen		 But you say he hasn't shown up, you think he backed out?
glenn		I don't know-- he doesn't exactly confide in me.
karen		Gee, I wonder why not.
glenn		I'm freezing my ass off.
karen		You want to get out of here, run, it'll warm you up.
glenn		Really?
karen		But listen, Glenn.  If you're lying to me...
glenn		I know, you'll find me.  Jesus, I believe it.  I keep thinking if you hadn't driven me to federal court last summer, you wouldn't even know who I am.
karen		If I didn't know you, Glenn, by tomorrow you'd be in jail or dead.  Look at it that way.  Go on.
maurice		Where you been?  You miss the big boys, come in time for the walkout fights. Well, shit, you may as well pull up a chair.
foley		Who's sitting here?
maurice		Your homie, Glenn.  Only thing, he went to the men's about a while ago and never came back.
maurice		I sent these two looking for him, they come back shaking their heads.
foley		Well, if he left his coat and he's been gone a while.
maurice		 Reggie, push off and hit, man.  Push him off.
foley		We're leaving.
maurice		The fuck you talking about?
foley		Snoop, if you don't know where Glenn is...
maurice		Look, what you worried about Glenn for?  What's he know?
foley		I thought everything.
maurice		Glenn knows everything we suppose to do tomorrow.  Glenn could tell somebody that, yeah, but it don't mean shit. You understand?  'Cause Glenn don't know I changed the plan.  It's happening tonight.
foley		 Give me a minute, talk to Buddy.
maurice		You got two minutes, that's all.  Make up your mind.
foley		I wasn't asking permission.
buddy		Whatta you wanna do?
foley		I get that feeling, yeah.
buddy		But you still think you can get the diamonds fore they do?
foley		I'll make you a deal.  Get out of here. Right now.  I'll do the job with the Snoop, meet you wherever you want and give you half.
buddy		Half for doing what?
foley		Getting me out of Glades for starters.
buddy		And who watches your back?
maurice		Man has all that reward on his head and still talks like a con in the yard. You know what I'm saying?  Like he's a man you don't mess with.  Yeah, well, what I say to Jack Foley is buuullshit.
foley		That what they're wearing these days to break and enter?
maurice		Break and enter, shit.  Take it and git, how it's done.  Don't waste any time.  That's how you do it.
foley		So you've done this before, huh?
maurice		Shit, yeah.  White Boy even got busted for it.  White Boy, tell these boys the reason you went down on that burglary that time.
maurice		Takes the TV, the VCR, some other shit and leaves his wallet on the floor.
foley		That's a wonderful story, Snoop.  I'm very excited about tonight.
maurice		Hey.  You learn from doing.
foley		I've seen 'em used on TV.
buddy		Slow down.
maurice		Do like he says, man.  Slow down.
karen		Shit --
maurice		"An army .45 will stop all jive." Huey P. said that.
buddy		You think he was talking about walking into people's houses when he said it?
maurice		 Get ready to go skiing.
foley		Go on in the house before you get hurt.
buddy		I'm not leaving you alone with these assholes.
woman		I work here.  I'm the maid.
kenneth		Hey, shit, we're gonna have a party.
maurice		Not yet.  Where's Mr. Ripley?
maid		I told you, he isn't here.
maurice		Out for the evening?
maid		He's in Florida.  Palm Beach.
maurice		 When's he due back?
foley		Jesus Christ, what difference does it make?  You want to wait for him?
maid		Mr. Ripley's down for the season. Christmas to Easter.
maurice		You here all by yourself?
maid		 That's right, just me.
maurice		Where's Ripley's safe at, he keep his valuables in.
maid		I don't have any idea.
maurice		Let's go upstairs, have a look at the man's bedroom.  All right now, you and Mr. Buddy check the rooms down here. Look at the wall behind any pictures hanging on it.  Look at the walls in the closets.  The man has a safe, it's gonna be up there somewhere.
foley		How about his place in Florida?  If you'd called, we could've checked his walls down there before we left.  That is, if you'd checked to see where he was.  You follow me?
maurice		You set off any kind of alarm and you're a dead Hazel.  Understand?
kenneth		What's you name, mama?
maurice		First money, then pussy.
foley		You ever wear one of these?
buddy		I don't ski.
foley		Stay with the maid.  I'm gonna have a look around.
karen		Tell me where Ripley's house is.  I'll meet them there.
maurice		White Boy, the man's not gonna hide no diamonds under the fuckin' mattress.
buddy		Checkin' the other rooms, like you said.
maurice		 Go keep an eye on him.
kenneth		 I don't recognize none of these bands.
maurice		Just pick one, put it on.
foley		They cut the lines, Richard.
ripley		Foley?  That you?
foley		How are you, Richard?
ripley		Jesus Christ, what the hell are you doing here?  What's going on?  Who's upstairs?
foley		Maurice Miller, couple of his friends.
ripley		Maurice?  From Lompoc?  Good God.
foley		What kinda man lets a woman answer the door, this time a night?
ripley		We thought it might be her husband. Sometimes he comes and checks up on her.  She told him I was down in Florida.
foley		A minute or two, you're gonna wish you were.
maurice		How do I look, mama?
maid		Like a fag.
kenneth		I think she like to tussle with me. Get boned a way she gonna remember.
maurice		White Boy!  Get your ass up here!
ripley		What do you want from me, Jack?  Name it.  You want money?
foley		You gonna write me a check?
ripley		We'll go to my bank.  I'll make a withdrawal.
buddy		They found the safe.
foley		You remember Buddy, don't you, Richard?
buddy		Yeah, hi.  Nice house.
ripley		Thank you.
maurice		We gonna open up this fucker...
ripley		 Good God... they're shooting Midge!
foley		 Siddown, Dick.  They're trying to open the safe, not your maid.
maurice		A'ight, this time we gotta get the motherfuckin' trajectory right...  Okay, on three:  One... Two...
maid		The combination is three-ten-forty-four.
maurice		...the fuck is this...
maurice		Go find Foley.  NOW!
ripley		I can't believe you're still angry with me, Jack, after all this time.
foley		I'm not angry, Richard.  In fact, I'm completely relaxed.  Thing is, I can't tell if it's the fish that're cooling me out or all those uncut diamonds on the bottom of the tank there.
buddy		Damn--
foley		Dumbfuck Glenn was right, there's about five million worth in there, wouldn't you say, Richard?
ripley		Five point two.
buddy		They look like plain old rocks.
foley		They sure do.
ripley		I'm not leaving Midge.
foley		Don't be an asshole, Richard.  They're gonna kill you.
ripley		If that's my fate, so be it.  I'm not leaving.  I love her, Jack.
buddy		C'mon.
foley		Good luck, Richard.
ripley		Are those my suits?
maurice		Where you been hiding, Dick?
buddy		Okay.
foley		Shit.
buddy		What?
foley		They're gonna rape the maid, aren't they.
buddy		From the looks of those boys, the Ripper too.
foley		And then they'll kill 'em.
buddy		At least.
foley		We made it, didn't we?
buddy		All you gotta do is get in.
foley		I'm going back inside.
buddy		I'll go with you.
foley		No, you dump the van, meet me at the airport. I'll take one of Ripley's cars.
buddy		Jack --
foley		Listen, Buddy, the shit that's about to go down, you'll be on the phone with your sister for a month.  Let me do this part alone.
buddy		Hey...
foley		Now get outta here.
ripley		 Midge.
maurice		Forget about her.  Tell me where the money's at.
ripley		Foley's got it.
maurice		Where the fuck is Foley?
foley		Midge?
ripley		Midge!
maurice		 You take the front stairs, I'll take the back.
maid		 Where's Dick?
foley		Downstairs.  But wait here.  There's two more.
foley		 You learn from doing.
maurice		Jack, you don't use a gun, do you?
foley		Not until recently.
maurice		 Nervous?
foley		A little.
maurice		 This kind of setup, you don't have any idea what the fuck you're doing -- do you?
foley		You're right.  So why take a chance--
karen		Hello?
karen		Oh-kay...
foley		Shit...
karen		Come on, Jack -- don't.
foley		Pretend I'm somebody else.
karen		You think I'd shoot you?
foley		If you don't, one of those guys will.
karen		What're you now, a desperado?  Put the guns down.
foley		I told you, I'm not going back.
karen		Don't do this.  Please.
foley		No more time outs.
karen		You win, Jack.
cruz		Karen, I told you not to--
karen		Wait, I know him --okay?
foley		You just did, for Christ sake.
karen		You know what I mean.
midge		Richard!
ripley		 What'd you do with my diamonds?
buddy		The airport.
karen		I doubt if they will.  The Bureau's put a detainer on him, so when they're through with him here he'll go back to Florida.
marshall		You gonna go get him?
karen		It's possible.  Why?
marshall		I was just thinking... you could have a nice time with him on the plane -- like picking up where your interlude, or whatever you call it, left off. And then throw him in the can.
karen		He knew what he was doing.  Nobody forced him to rob banks.
marshall		My little girl, the tough babe.
voice		Foley.
federal marshal		Have a nice trip.  I'll get the other one.
karen		I got you a present, something for the road.
federal marshal		Jack Foley meet Hejira Henry.
foley		Hejira?  What kinda name is that?
hejira		Islamic.
foley		What's it mean, "No Hair"?
hejira		The Hejira was the flight of Mohammed
foley		The flight?
hejira		The brothers in Leavenworth gave me the name.
foley		You were at Leavenworth, huh?
hejira		For a time.
foley		Meaning?
hejira		Meaning time came, I left.
foley		You busted out?
hejira		I prefer to call it an exodus from an undesirable place.
foley		 And how long was it before they caught up with you?
hejira		That time?
foley		There were others.
hejira		Yeah.  That was the ninth.
foley		 The ninth?
hejira		Ten, you count the prison hospital in Ohio I walked away from.
foley		You must be some kinda walker, Henry.
hejira		Hejira.
foley		And so now you're off to Glades.
hejira		Apparently, yeah.  I was supposed to leave last night with the lady marshal, but for some reason she wanted to wait.
foley		 She did, huh.
hejira		Cheaper I guess, take us both down in one van.
foley		Yeah, could be.  Or maybe she thought we'd have a lot to talk about.
hejira		Like what?
foley		I don't know.  It's a long way down to Florida.
****Dialogues from script :Pacifier.txt****

serb 2		Fifteen minutes to delivery.
pilot		All clear from above.
pilot		What's happening?
serbian 2		What happened?
serbian 1		We've been hit. We're taking on water.
serbian 1		Something must be below us! Shoot! Shoot!
shane		Lieutenant Shane Wolfe, United States Navy. I'm gonna get you outta here. But you have to do exactly what I say, when I say it. My way -- no highway option. Do you copy?  Where's the briefcase?
plummer		How did you know where I...
seal		KEEP SHOOTING!
shane		 I've got the Prof and the case. First round's on me back at Virginia Beach.
shane		Hold on.
shane		You know how to swim?
plummer		Oh my God. I can't believe you... how'd we... That was the most incredible...
shane		Better keep that on `til we get to the rendezvous point.
plummer		 Why? Poison gas?
shane		 No. I'm just not big on chit chat.
charles		Lieutenant, thank you.  You saved more than just my life today. Can I call my wife to let her know I'm okay?
shane		Negative. Not imperative to the mission. We have to keep moving. I have strict orders to get you out of here safely.
charles		I'm safe, Lieutenant. Please. She thinks I'm dead.  Don't you have a family?
shane		 Make it quick.
charles		Joe, Todd, Lulu, Peter, Tyler.
shane		Negative.
charles		Battery's dead...
shane		We're almost ready.    Just gives us a -
shane		Captain, sir.
bill		As you were Lieutenant.
shane		... I know sir. And I except full responsibility for the mission's failure.
bill		Why the hell did you let him use the satellite phone?
shane		He had to call his family. A lapse in judgement on my part that I regret sir.
bill		... Plummer was the best security expert the department of defense ever had -- a genius. He was working on a program that scrambles launch codes. He called it G.H.O.S.T.: Guided High-altitude Scrambling Transmitter. One pulse from the GHOST satellite and a country can't launch its own nukes. That's what the Serbians kidnapped him for, but they couldn't get S inside the briefcase.
shane		The case was empty sir, as I stated in my report.
bill		Not a surprise, really. Not like the professor to hide things where someone might look for them. G.H.O.S.T. is still out there,  which is why I'm going to give you another shot.
shane		Sir. Thank you. I... appreciate your confidence.
bill		 Negative. It's not that kind of mission.
9.		BILL She's scared. The family's scared. Whoever killed the professor must think G.H.O.S.T. is in that house. Maybe it is, maybe it isn't. Either way, I need someone to stay at that house, and protect them. And while you're there -- find out if the program is in there.
shane		That's it? Why would you want me for that, sir.
bill		The professor's wife requested you.
bill		... You gotta problem with this mission?
shane		Sirnosir. It's just that... I've never been very good with kids, sir. Not even when I was a kid sir.
lulu		Mom! There's some weird bald guy at the door!
shane		 Lieutenant Shane Wolfe, reporting for duty.
julie		Of course. I'm so sorry.   Thank you for coming.
julie		KIIIDDS!!!
kids		Hi.
julie		And this is Helga and Tyler.
shane		 Ma'am... Baby.
julie		Kids, go finish your homework.   And I'll be checking.
shane		You have a pleasant family, ma'am.
julie		Charles wasn't around too much. His work took him all over the world. He'd be gone six or seven months at a time. So I think for the younger ones it's a little confusing. Zoe and Todd... well, they're dealing like your normal teenagers. Maybe in Todd's case semi-normal.
shane		Mrs. Plummer, I have to tell you that I did everything I could...
julie		Charles was in a dangerous business. I knew it when I married him. No one's to blame here.  Everyone thinks that Charles told me or the kids where he hid it. And until G.H.O.S.T. is found, we're all in danger.
shane		Nothing will happen to your family as long as I'm here. I've dealt with much...
julie		That's Gary. He was Charles'.
shane		Mrs. Plummer-
julie		Call me Julie.
shane		... Mrs. Plummer, I'll go secure the perimeter.
julie		I'm glad you're here-
julie		What is it?
julie		That's wonderful. This could all be over!
julie		I'll be there.
julie		Don't worry about the Kids, Helga will handle everything.  But if there is an emergency, all the emergency numbers are on the fridge. And on the phone. And on the back door...
zoe		Mom -- we'll be fine, chill.
julie		 I know, it's just... I am a mom, it's my job to worry. ... I love you guys. I'm gonna miss you. I'll be back in 48 hours. And guys, whatever Lieutenant Wolfe asks you to do... do it. Okay? A ll the children nod in agreement except Zoe who pops her chewing gum bubble.
shane		Don't worry. They'll be safe with me.
helga		Everything will be fine, Mrs. Plummer.
shane		... No.
helga		 Too bad.
shane		Could you turn that dow-
helga		You don't like it? You're the SEAL. You do something. I make bottle.
scott		... Zoe?
zoe		He's my boyfriend, tool.
shane		So you're the one who broke in. Zoe -- go back inside.
zoe		Okay, fine... come on Scott.
shane		Not with this kid.  You -- Gimme twenty!
shane		My apologies. We had an intruder. A simple misunderstanding.
shane		Oh. Sorry.
shane		Sorry.
shane		Your mother thought you were in real danger. You should have told her the truth.
zoe		Who do you think you are -- my dad?
shane		Not anymore.
elga		When you're down and low, lower than the floor. And you feel like you ain't got a chance. Don't make a move `til you're in the groove, and do the Peter Panda Dance. Just hop three times like a kangaroo --
shane		This family's in for a rude awakening.
oe		Huh?   Wha--?!
todd		W-what are you doing??!
shane		You're burning daylight. Move.       Move.
odd		It's Sunday...!  And it's six a.m. You're insane.
shane		Now move it!
shane		Hey. Not in front of the kids. S he gives him a look of disbelief.
helga		What's it matter? Nobody speaks Romanian.
shane		Usca mi-as chilotii pe crucea lu mata!
shane		Listen up, ladies. Your behavior is unacceptable. In order to maintain a state of safety we need to maintain a state of discipline and order. I've only got one rule: Everything is done my way. No highway option. Do you copy?
lulu		Do you copy?
shane		What?   I said -- do you...
lulu		 What?   I said -- do you...
shane		Do not copy me!
ulu		Make up your mind.
shane		Tracking devices. Now that I know I can't trust you... Never take them off. The panic button is only for emergencies. Touch that -- you better be dying, or you're dead.
zoe		I am not wearing that. Just because my mom's paranoid doesn't mean we have to take orders from you.
shane		Let me explain how the chain of command works. I tell you what to do -- and you do it. End of chain. Now I'm not gonna have time to learn your names. So you are --  Red 1, Red 2, Red Leader, Red baby... wait, where's the older male? There were five.
helga		 He walks like Dracula, with footsteps silent like death --
zoe		He's in his room.
shane		Red 4!    Open this door!
shane		It didn't have to go down like-
shane		All I need is a hammer and some plaster of Paris. I can fix this.
todd		Can I get by?
shane		Here's your bracelet. If you'd been wearing it, this wouldn't have happened.
zoe		He has to go.
peter		Whhhoooooo!
lulu		Stop it, Peter!
shane		Hey, hey, good soldiers aren't afraid of anything.
lulu		This house is haunted. Daddy even said so. He said there's a ghost.
shane		Really?   And where is this ghost?
ulu		I don't know.     I've never seen it.
zoe		Here he comes...!
todd		He's coming back-
helga		AHHH!!!
zoe		Uh-oh.
bill		As we discussed, this is an urgent matter.
julie		Can't you call somebody? Do something to get us around all this paperwork?
bill		Sorry. Not in Switzerland, I can't.
banker		Marcel!
marcel		Oui.
banker		Je ne comprende pas.
marcel		 I'm so sorry, the chief does not speak English. But I can tell you -- you will have access to the box tout-suite. As soon as your background checks clear.
julie		Thank you. How long is that?
helga		AGGH!     These brats!   Sugi Pula!
shane		Red Leader, remain calm --
helga		I am calm. I QUIT, that makes me calm!
shane		Let's not be hasty.
shane		Red Leader! I command you to come back! That is a direct order! You can't leave a man behind!!
korean woman		Don't worry, if she loves you, she'll come back.
shane		Okay, listen up. There's been a change of plans. Your mom's not coming back as soon as she thought...
lulu		 When is she coming back?
shane		Soon. In the meantime, we're just gonna have some more big fun.
todd		That's what we've been doing?
lulu		But tomorrow's a school day.
zoe		I need a signed release for Driver's Ed!
lulu		I've got Brownies!
shane		Whoa, WHOA! HALT! We'll take this hill one inch at a time. Only then can we rise to the challenge. All for one, and one for all!
lulu		 "Be all that you can be!"
shane		That's Army. I'm Navy.     But I appreciate your enthusiasm.
shane		The things I do for my country.
lulu		Hi. Zoe thinks you look like the Hulk. I think you're cute.
shane		 Thank you.
lulu		Do you know Kung Fu?
shane		Affirmative.
lulu		Did you ever punch someone so hard that their head came off?
shane		None of your business.
lulu		I'll trade you a SpongeBob button for it.
shane		I think -- it's time for you take a nappy- poo, in beddibye land, little girl.
lulu		Do I look like I'm five to you?
shane		What are you waiting for?    Dig in.
zoe		Like I'm really gonna eat all those carbs.
shane		Okay, ladies. Your mama -- is not here to take care of you now. So -- here's how it's gonna be. We're gonna pull together, all for one, one for all. If I say in, you stay in, if I say out, you go out...
peter		Ba ba do the hokie pokey...
shane		I did not say at ease!
zoe		He's only two, he doesn't have any idea what you're talking about. I don't have any idea what you're talking about...
lulu		Can you kill a man with your bare hands?
shane		You play too many video games.  Yes.
lulu		... I can cross my eyes. Wanna see?
shane		Negative.
lulu		Tyler hates it when I do that...
shane		Plummer residence... yes, I know it's Monday. Oh. Thank you, sir.
zoe		Who was that?
shane		Your vice principal. He said if you're late again, you and Todd are expelled. He wants to see you in his office. With your ... legal guardian.
lulu		We're gonna be late.
shane		Not on my watch.
murney		I always said these kids didn't need a baby sitter, they needed a parole officer. Looks like Mrs. Plummer finally listened.
shane		Wolfe. Shane. Lieutenant. I'm in charge of watching these kids for... a few days.
murney		aby-sitter huh. Well, whatever work you can get. I'm Murphy. Duane. V.P in charge of discipline, conduct and truancy. Top to bottom, K thru 12. You're in my house now, boy. I coach wrestling, too.  And the creeper here played hookey from every wrestling practice this month.
oman's voice		Your school?
principal claire		Good morning kids. What are you doing in my office, Murney?
murney		I was explaining, that as vice principal, I am in charge of....
principal claire		Very little. I thought I asked you to find out who stuck to the baloney slices to the cafeteria ceiling with mustard?
murney		I'm got some leads.  My informant's about to crack.
principal claire		Then hop to it. I think I can handle this from here.
principal claire		So. You're the new baby-sitter?
shane		Bodyguard. You see, Mrs. Plummer called my captain, she thought the kids needed -
principal claire		It's okay, Lieutenant, I was briefed of the situation by Mrs. Plummer. She told me all about you.
shane		... You're kidding?
principal claire		Four years at Naval base Coronado.   The Service paid for my college.
shane		"Honor, Courage...
principal claire		Commitment". That's the way I live my life, and the way I run my school.
shane		Can't be too careful. So. Permission to stick around and keep eyes on the kids?
principal claire		Permission granted. Welcome aboard. Just try not to frighten the children.
shane		No one will even notice I'm here.
shane		Clean as a whistle.
shane		Give up now. Save us both a world of pain. Now -- last time: Open the hanger, Black Hawk coming in.
principal claire		What would you say is the secret with kids, Mr. Wolfe?
shane		Show no weakness.
rincipal claire		I'll drink to that.  Shane... Can I call you Shane?
shane		... Sure.
principal claire		So. When you agreed to serve your country, I bet you didn't know you'd be serving creamed bananas to one year olds, huh?
shane		Hey -- I out rank you, you know.
principal claire		Not here, you don't. You're on dry land, lieutenant.  Well, not so dry where you're sitting, I guess.
shane		Oh, man...
principal claire		Don't take this personally -- but you're pretty good at this. Seriously, I'm impressed. A whole day, and all three Plummer's stayed out of trouble. That's... unusual.
zoe		Kick his butt, Todd!
rincipal claire		Who started this?
murney		He did. 
principal claire		Todd started a fight with five students at once?
murney		The kid's mixed up. Look at him.
principal claire		If I catch anyone on the team fighting again, next week's tournament is off. I don't care who starts it.
murney		You heard the lady. Any more fighting and there'll be no more wrestling. Personally I think that's a little harsh. Boys'll be boys.  `Scept for Plummer here.
shane		... Nice moves, man.
murney		Pretty slick, Frogman -- I'm a black belt myself. S'why they asked me to coach the wrestling team.
shane		... Sorry, sir. I'm on duty.
murney		Oh, yeah. That's right. I forgot you had to baby-sit. Maybe some other time then.
principal claire		... Don't even think it, Murney. He'd kill you so fast, I wouldn't even have time to get my camera.
principal claire		Another day, another dollar twenty, minus taxes... aren't you gonna change him?
shane		I'd love to, for one who'll eat, and not cry.
principal claire		That's not what I mean, Lt.
shane		Oh -- change him. Roger that. Uh...
principal claire		Sirnosir. Not my job.
shane		But...
principal claire		Instructions are right on the box. Bathroom's down the hall. Have fun.
shane		Emergency!
lulu		See! My nanny can kick your nanny's butt.
shane		Thanks.
construction worker		What hell do you think you're doing?
shane		Tell me where the kids are and I'll let you all live!
construction worker		Buddy, you're about to get a beat down.
shane		Red 1?   Red 2?
cute cop		14 year old Male, weird hair. 16 year old female. Ditto.  Cancel that a.p.b..
claire		Shane are you okay?
shane		 Just fine, thank you.
claire		I should probably get going then. If you need anymore help... Call.
brownie		oo hoo! Hubba hubba!
shane		Who are those people?
lulu		It's my troop, it's Monday. Monday, Wednesday and Saturday are troop nights.
lulu		I can't. Everybody's parents go out on troop nights. They won't be home `til ten. Mom's our den mother.
shane		Selling cookies isn't imperative to my mission.
lulu		We have to. If we don't sell enough cookies, we can't go the Jamboree, and if we can't go to the Jamboree.  Come on, Shane. You gotta help me out. They already think I'm a loser. And it's not like I have any other friends, cause mom never lets me out of her sight...
shane		Alright, ladies. Here's how it's gonna be. Tonight, I'm gonna be your den -- commander. That means if you want to live to see tomorrow, do as I say. DO WE UNDERSTAND EACH OTHER?
brownie		Den Mother? ... I'm scared of you.
shane		Good. Now -- wait here.
zoe		... yeah, he's a total psycho. I think mom found him from one of those Tough Love boot camps or something...
zoe		This is totally cruel and unusual! You can't do this -- we could run out of air!
zoe		.. he's got us on lock-down, it's like Oz or something. No, not munchkin Oz -- HBO Oz.  Hm... I dunno if that's a good idea, Scott...
shane		I gotta get supplies. I can see you through the window, but if anything happens...
lulu		 I know.
brownie		Oh no... they're back.
shane		Where are my troops?
shane		What happened?  Well?
lulu		Those boys over there broke our cookies.
shane		Well then -- I'm afraid I have to eliminate them. If I don't come back -- avenge my death.
brownies		No!
shane		This is not a toy. I'm here to protect you. Not cookies. Get in the car, we're going home.
brownie		You can't take us home yet, you're supposed to take us to dinner.
shane		Where?
manager		Welcome to Chuck E. Cheese!
shane		I wish I were in Chechnya.
manager		Anything elsh I can do for you?
shane		In a big glass    This much ice... this much cyanide.
manager		How `bout a re-fill on that pischer of Mischer Pibb?
shane		What?
manager		 Pischer of Mischer Pibb?   Mischer Pibb?
lulu		Let's fight!
shane		I'm watching your brother...
lulu		I pressed two player. I thought you liked combat. Unless you're scared.
shane		That's not fair. Nobody can jump thirty feet.
lulu		The Hulk can.
shane		That wasn't a documentary.
lulu		You wanna switch?
shane		 You don't have a baby on your chest...
lulu		You're not even trying...
shane		I AM TOO TRYING.
lulu		Too slow... come on -- take a shot... oops too slow... swing and a miss...
zoe		Mom -- stop worrying.
zoe		Seriously, everything's cool. The guy's just a control freak.
julie		It's only a few more days. I hate leaving you, but you know I have to do this. I love you.
zoe		I know. Don't worry, we're okay. Tonight I'm just doing homework -- in my cell.
zoe		Dude, this is outta hand. Who are all these people?
scott		Jus' ma peeps. And the folks who read my BLOG.
zoe		Dude, not cool...
shane		Move, move, move! Go go!
manager		I figured you'd come back for him -- they almost always do.
shane		Inexcusable, to leave a man behind like that...
manager		Relax, we once found a kid in the ball pool when we opened in the morning --
lulu		Should we send someone in after him?
shane		Clear out! GO GO GO!
shane		Party's over.
shane		No one leaves until this house is spotless! I want to be able to eat off the floor! The latrine! Hell, I wanna be able to eat in the kitchen!!
scott		This is officially the worst party ever.
zoe		It was YOUR idea! I don't even know most of these losers.
zoe		... Thanks a lot, Rambo. My friends will never come here again.
shane		Those people aren't your friends. They show no respect for you or your house. Because you have no respect for yourself.
zoe		I do too respect myself.
shane		You got barf on your tank top.  Company, downstairs!
zoe		You're not my dad!
shane		You're right, Red 1. I'm not the man for this job.
lulu		Shane --!
shane		In all my years I have never been treated with such disrespect. Not even from the enemy. Don't worry, as soon as your mom comes back, I'm gone.
zoe		 It's Scott...
shane		Puberty... talking doesn't do any good. Go to your rooms.
ninja		GHOST -- hand it over!
shane		Okay -- who wants some?
furbies		Ow! Ow!
shane		Kids.   It's safe. You can open up.
lulu		Please don't leave us Shane.
shane		I'm not going anywhere.
zoe		I'm sorry for giving you a hard time.
shane		Shhh... It's okay.
todd		Who were they? What did they want...?
shane		They're looking for a program, that your father invented.
zoe		So Mom's not paranoid? There really are people out to get us.
shane		They're not after you. They want this. But nothing's gonna happen to you, as long as I'm here. And I'm not going anywhere.
shane		C'mon c'mon c'mon...
zoe		Hey mom we're fine, absolutely nothing happened you should worry about. Nope.
shane		Mrs. Plummer... two men tried to get into the house tonight.
julie		Oh my god!
shane		No - it's okay. They're gone, everyone's fine. They were looking for GHOST, but they didn't find it. You have any luck?
julie		Well, yes and no. We found something in the box... But we're not sure what it is. Bill thinks it's part of the GHOST. It looks like some kind of "key". We just don't know what its for.
shane		 ...So soon? We were just starting to have fun. Don't worry -- we'll be just fine.
shane		I gotta warn you guys: From now on, I'm gonna be sticking even closer.
second graders		Ooooooooh! 
shane		Don't worry. So, she wrecked a driver's Ed. car -- she'll pay for the damage...
murney		That? Lady drivers, what do you expect. No, it's not that -- it's the boy...
shane		Red two? I mean Todd?
