****Dialogues from script :TRON.txt****

fourth draft screenplay by		Charlie Haas April 6, 1981 BLACKNESS
brendan		You and Tommy are training together?
paddy		Riordan. He's using your mother's maiden name now.
brendan		I know what her name is.
paddy		I thought you'd want to know he's back. That's why I drove all the way over here.
brendan		I thought you came to break bread over a thousand days?
paddy		That too.
brendan		Did he say if he wants to see me?
paddy		He doesn't say much. He's just not that happy kid he was.
brendan		Wow, look at you. Mister inside man.
paddy		What's that?
brendan		You came to gloat.
paddy		I did not come to gloat. I came to get my son back.
brendan		Well, there you go. You got your son back.
paddy		I'm talking about you, Bren--
brendan		You got your son back.
paddy		Ah, Brendan. I was a drunk. I mean, you know. I'm sorry.
brendan		Forget it. You were always a front runner. You never had any interest in underdogs. But I was your son.
paddy		You are my son.
brendan		Am I?
paddy		Yeah, you are. I'm just asking you to find just a little space in your heart to forgive me.
brendan		Yeah. Alright. I forgive you. But I do not trust you. Tell Tommy this is where I am if he wants to see me.
paddy		Alright. But they're not different things. You've gotta trust to FORGIVE--
brendan		Goodnight, Pop.
paddy		My God, is that Emily? Boy, she's grown, Brendan. Is that Rosie?
rosie		Daddy, who is that?
brendan		Just some nice old man.
jon anik		Huge news breaking here at ESPN. Koba is coming to America and will fight at Sparta. Universally considered to be the greatest pound for pound fighter that ever lived, the mighty, mythical Russian has never fought on U.S. soil in his legendary career...
colt boyd		Tommy? Got some news for ya. I got you into Sparta. Took some doing, but I made it happen..  Thank you and 10 percent is customary.
pilar		Bueno?
tommy		Pilar. It's Tommy.
pilar		Tommy! Dios mio! I can't believe it! How are you?
tommy		Good good. How you doin'?
pilar		OK. You know me, Tommy.  I was getting really worried about you.
tommy		How're things? Kids are good?
pilar		They're good. Maria's getting so big. She looks more like Manny every day.
tommy		How's little man?
pilar		He's good. He's a good kid, Tommy. Takes care of his sister. He's a great kid. Everyone's good.
tommy		You know, Pilar, I haven't forgotten for one minute what I promised you. What I promised Manny. I've got an opportunity coming up to help you guys out. To take care of you guys.
pilar		Whatever you can do, Tommy. I know Manny would really appreciate it. You worry too much. It's OK. We're hanging in there.
frank		No he did not tap you! Physics teacher! That's the best in the world there, son.
brendan		You gonna be OK? Wanna grab a bite?
frank		Nah. I'm gonna head home. I gotta call the boys and break the news. I'll call you tomorrow.
brendan		Coach! Hey, I know this isn't a great time. And it's too bad about Marco. But what about me?
frank		You talking about Sparta? Brendan, please. You got a better chance of starting a boy band. I'll talk to you tomorrow.
brendan		It's a grand prix tournament. Which means anything can happen. You know that as well as I do.
frank		That's what I'm afraid of.
brendan		Frank, I need this. You're real tight with those guys. You call them, they'll listen to you.
frank		You realize what you're asking me to do here, Brendan? We go down to AC and you get tapped out in five seconds, how does that benefit either one of us?
brendan		That's not gonna happen.
frank		Not gonna happen. Wish I had a nickel for every time I heard that.
brendan		 It's not gonna happen.
frank		I'll make a call.
brendan		I love my coach!
tess		Really? So that's your decision? You decided? `Cause I really enjoyed that conversation we just had about making that decision together.
brendan		It's a lot of money, Tess.
tess		I don't give a shit about the money, Brendan. I told you that. We're gonna end up cashing in your life insurance policy before we pick up that prize money.
brendan		You don't think I can do it.
tess		I think you can get killed.
brendan		I'm not gonna get killed.
tess		Fine, you're not going to get killed. But can you promise me you're not going to get hurt? You're not gonna end up in the hospital? You're not gonna end up paralyzed? We'll have no prize money. No house. Payments for HOSPITAL BILLS--
brendan		Tess, I can promise you this: if I don't try, they're gonna take the house. How's that for a promise?
tess		I'm not gonna watch you fight again. I'm not.  I'm gonna get the girls breakfast.
callen		J.J., you've made a fortune with your hedge funds, yet you turned your back on Wall Street and dedicated your life to making Sparta happen. Tell us, why is this tournament so important to you?
sheridan		Thank you, J.J. And here's something fans never thought they'd see: Koba is here! The legend arriving to fight on U.S. soil for the very first time...
frank		Hey. Where'd you go? You can't leave me like that. They wanna talk to you, not me.
paddy		Tommy!
tommy		I'm takin' a walk.
brendan		Been looking all over for you. How's it going?
tommy		It's going.
brendan		I was thinking maybe we could grab a coffee.
tommy		I don't drink coffee. Whattya want?
brendan		You don't want to go sit down somewhere?
tommy		I'm good right here.
brendan		Shit, Tommy. How was I supposed to know I was never gonna see you guys again?
tommy		You were briefed. You had the information. You chose the old man and the girl.
brendan		She wasn't some girl. I married her. She's my wife.
tommy		Don't know `em.
brendan		I know you don't know them. Of course you don't know them.
tommy		Why am I looking at pictures of people I don't know?
brendan		Because that's my family.
tommy		And who are you exactly?
brendan		I'm your brother, man.
tommy		You were in the Corps?
brendan		What?
tommy		I said I didn't know you were in the Corps.
brendan		I wasn't in the Corps.
tommy		Then you ain't no brother to me. My brother was in the Corps.
brendan		Jesus, Tommy. I was a 16 year old kid. What the hell did I know?
tommy		I don't know what you know. Why don't you go ask your girlfriend about it?
brendan		She's my wife, Tommy. So that's it? I stay with Tess and I never get to see you guys again? Not a single phone call? Nothing?
tommy		Shit. He's just some old vet I train with. He means nothing to me. From what I hear he means nothing to you, either, so you got balls talking about forgiveness.
brendan		That's got nothing to do with forgiveness. I've got a family to protect. Everything I do is for them.
tommy		 You forgave us?
brendan		Yeah.
tommy		I'm not surprised you made the tournament, Brendan. You got some stones.
brendan		I fell in love, Tommy. What the hell was I supposed to do?
tommy		You were supposed to stick to the plan. You were supposed to come with us. Mom needed you. I needed you. You were my big brother and you bailed on me.
brendan		You're not the only one who suffered, Tommy. I didn't even know she was sick. I never even got the chance to say goodbye to my own mother. You had no right to keep that from me! That was not your decision to make!
tommy		You know what? You walk around with your pictures in your wallet and you're all, I forgive you, I forgive Pop. I forgive everyone. But you know what? You're full of shit.
joe zito		You realize you're supposed to seek my wise counsel when school's actually in session, right?
stephon		We want to use the auditorium this weekend to watch Mr. C in Sparta.
tito		What do you say?
joe zito		Let me get this straight. You want to use the auditorium to watch a suspended teacher engage in the activity he was suspended for? Am I hearing this correctly?  I gotta talk to your parents. You guys might need to be in summer school after all.
nash		But everyone wants to see it.
kc		The gym's the only place that's big enough.
joe zito		It's never gonna happen.
stephon		What if we get a petition?
tito		Yeah. We'll get the whole school to sign it.
nash		The power of democracy!
joe zito		Look, I appreciate that you guys love your teacher. I really do. But there is nothing I can do for you.
callen		Welcome, I'm Bryan Callen along with best-selling fight author Sam Sheridan. Sam, when J.J. Riley conceived Sparta he wanted to create, quite simply, the biggest Mixed Martial Arts spectacle in history.
sheridan		Five million dollars, Bryan. Five million dollars. J.J. Riley put his money where his mouth is and put up the biggest purse this sport has ever seen.
callen		It's unprecedented, Sam. As is the hoopla surrounding Tommy Riordan, the war hero who has become an overnight sensation...
official		Five minutes, Paddy.
callen		Sam. He ripped the door off a tank!
josh rosenthal		Gentlemen, you've been given your instructions. I expect a clean fight. Obey my commands at all times. Defend yourselves at all times. Touch gloves, go back, let's do this.
official		Show time.
frank		You can do this.
brendan		I can do this.
frank		Then let's go do this.
paddy		Go get `em, son.
callen		Classical music is about as fitting to this setting as Brendan Conlon is to this tournament. In fact, let me show you something.
sheridan		C'mon, give the guy a break. At least we've seen him fight before. He was in the UFC. We remember him.
callen		I remember him, too. I remember him being very unmemorable.
frank		You asked for it.
josh rosenthal		Alright, gentleman, you've been given your instructions, I expect a clean fight. Obey my commands at all times. Defend yourselves at all times. Touch gloves, go back, let's do this.
frank		Have some fun, baby.
zito		Move! You gotta move!
zito		C'mon, Brendan, get outta there!
frank		Get out of there! Get out of there!
frank		Beautiful! Beautiful! He doesn't know what hit him!
sheridan		It just did, Bryan.
zito		He tapped him out! He tapped him out! He did it! He did it! He did it!
callen		Very technical finish, but come on, that's a fluke.
sheridan		I hope you got a receipt for your goldfish.
tess		Yes!
paddy		You can do it, Brendan.
frank		Take him down!
paddy		That's it, Brendan!
paddy		Way to go, Brendan!
brendan		I'd doing this!
paddy		OK, son.
brendan		I'm doing it!
josh rosenthal		Gentlemen, you ready? You ready? Let's go to war!
paddy		Can't sleep, huh?
tommy		How about deserting my unit? Is that really something, too? Yeah. I was on my way outta country when I came across those guys. What was I supposed to do, let `em drown?
paddy		No.  What'd you do?
tommy		What'd I do? I took off.
paddy		That's why you go by Riordan. That's why the press can't find your service records.
tommy		That is none of your business.
paddy		Come on, kiddo. I've been there. I've done it. I've seen it. You can trust me. I'll understand.
tommy		Spare me the compassionate father routine, Pop. The suit don't fit.
paddy		I'm really trying here, Tommy.
tommy		You're trying? Now? Where were you when it mattered? I needed this guy back when I was a kid. I don't need you now. It's too late now. Everything's already happened. You and Brendan don't seem to understand that. Let me explain something to you: the only thing I have in common with Brendan Conlon is that we have absolutely no use for you.
paddy		God pity `em! All shall perish except me! You bastards! Stop the ship, you bastards!
marines		 From the halls of Montezuma to the shores of Tripoli, we will fight our country's battles in the air, on land, and sea...
sheridan		It sounds like VJ Day in Times Square, Bryan. I've never seen anything like it!
josh rosenthal		Alright gentlemen, you've been given your instructions. I expect a clean fight. Obey my commands at all times. Defend yourselves at all times. Touch gloves, go back, let's do this.
mad dog		It's not gonna happen again.
josh rosenthal		Gentlemen, you ready? You ready? Let's go to war!
colt boyd		Stop it! Stop the fight!
frank		You've got a visitor. Second row, 10 o'clock.
frank		I want you to look right at him when he comes in here. Don't take your eyes off him.
josh rosenthal		Alright, gentlemen, you've been given your instructions. I expect a clean fight. 
josh rosenthal		Gentlemen, you ready? You ready? Let's go to war!
josh rosenthal		Let's go to war!
frank		Sit down. Breathe.  Look at me! Look at me! Why are we here, Brendan? Why are we here? Are we here to win this fight? You tell me, `cause if we're not, I'll throw in the towel right now. We'll get Tess and we will go home. You don't knock him out, you lose the fight. Understand me? You don't knock him out, you don't have a home.
josh rosenthal		Let's go to war!
frank		Crank it! Crank it!
tess		 What are you gonna do?
brendan		I'm gonna fight him.
frank		One more time.
josh rosenthal		Gentlemen, this is the final. Five rounds. I expect a clean fight. Obey my commands at all times. Defend yourselves at all times. Touch gloves, go back, let's do this.
brendan		Where's Pop?
josh rosenthal		Gentlemen, are you ready? Are you ready? Let's go to war!
tess		What was that!
frank		C'mon, Josh!
brendan		Angle out, hit, and move.
frank		Good. Breathe. Relax. He's not your brother, right? He's just a guy who's in the way.
frank		Switch! Switch!
brendan		Tap, Tommy!
brendan		I popped his shoulder.
frank		Relax, breathe.
brendan		I heard it tear.
frank		You popped his shoulder? Good. I want you to pop his other shoulder.
brendan		Josh!
frank		Hey! Hey! No Josh! Look at me! You got two rounds left! You need both rounds! Go in there, kick him in the head, take him down, and finish him!
brendan		Tommy! What are you doing?
tommy		Shut up! C'mon.
brendan		What are you that crazy?
josh rosenthal		Let's go to war!
brendan		What are you doing? It's over!
frank		Finish him! You finish him!
josh rosenthal		Break! Break!
brendan		I'm sorry, Tommy! I'm sorry!
****Dialogues from script :Watchmen.txt****

anchorwoman		--addressing the United Nations today, the President expressed his concern over the increasingly intense territorial disputes in both Asia and the Middle East. CUT TO: The PRESIDENT OF THE UNITED STATES--
president		The sound of a bullet at one end of the world echoes across the ocean to the other end. Armed conflict is not self contained in its respective region--the consequences reverberate through every nation across the world and therefore must be avoided at all costs. CUT BACK TO: The Anchorwoman--
anchorwoman		While the President's position was clear, he did not comment on whether or not he would order Dr. Manhattan into action should the situation continue to escalate. CUT TO: Stock footage of DR. MANHATTAN--a man, at least he appears to be, who has glowing blue skin. The stock footage shows Dr. Manhattan flying through the air as a MISSILE heads straight for him.
blake		Just a matter of time, I suppose. With sudden, blinding speed, Blake WHIPS the SAUCER from under his cup, sending it FLYING like a saw-blade. The Intruder BATS IT out of the air with even quicker reflexes, but the act buys Blake time to pull a PISTOL with a SILENCER from a hollowed out STEREO SPEAKER. He's a pro . but so is our Intruder. Before Blake can get a shot off, the Intruder is already upon him, SNATCHING the gun out of Blake's hand-- --Blake PUNCHES the Intruder in the chest plate--the Intruder drops the gun. Blake fights. Not like an old man, but like the trained killer he is. But the Intruder is much, much faster. Younger. Deadlier. He SMASHES Blake with an elbow to the head. Blake falls. BLOOD blurs his vision. The Intruder picks Blake up off the ground. Brings him to the window with the great New York view. Thirty stories up. Blake looks the Intruder in the eye . and starts laughing. Hysterical.
cop 1		Hey! This is still a goddamn crime scene!
shopkeeper		It's been over four hours, I got a business to run-- As they argue, we're back following the happy face pin, as the water carries it to a DRAIN-- --when someone picks the pin up. We're in this person's POV as he studies the pin for a moment before pocketing it. We never see his face. We move from his POV-- --to across the street, arriving at a NEWS STAND. People at the news stand stare at. the crime scene. At the cop still arguing with the shopkeeper, the patrol cars, the yellow tape. At the MEDICAL EXAMINER zipping up Blake's BODY BAG. Other people at the news stand ignore the scene and peruse the magazines and periodicals, most of which have inflammatory headlines regarding the tense atmosphere currently in the world--a Newsweek headline reads "War?", The New York Times: "China Moves Battleships near Taiwanese Waters," The New York Post, over a PHOTO of the President with Dr. Manhattan: "What Me Worry?" The NEWS VENDOR notices a MAN frowning at the papers.
news vendor		 Depressing ain't it?
man		But good for business, right?
news vendor		Yeah. Irony's a bitch. The man pays for a newspaper when A HOMELESS MAN taps the News Vendor on the shoulder.
homeless man		The current issue of The New Frontiersman, where is it?
news vendor		It's late this month.
homeless man		When will it be here?
news vendor		I dunno, pal, like I said, it's late-- We MOVE BACK ACROSS THE STREET, to Blake's apartment building, then MOVE UP the building, to the broken glass window Blake was thrown out of. We MOVE INTO THE WINDOW--
cop 1		You sure it wasn't the wind?
cop 2		Nah, I definitely heard something.
cop 1		I tell ya, I'd rather do traffic duty than be posted at a crime scene all night. Watch the door. Cop 1 pulls his gun, going through the motions rather than being concerned. He then enters the bedroom. Cop 2 stands guard, nervous From the bedroom:
hollis		All the nuts that started popping up, I'll tell ya. Who was that midget you and your partner chased down years ago? What'd he call himself?
dan		The Big Figure.
hollis		Big Figure. A midget bad guy. Guess it doesn't get lower than that, does it? Hollis laughs at his own joke; Dan chuckles, polite.
dan		 Wow, it's really late. Dan stands, finishes his beer. Hollis sees him to the door.
hollis		Well, even though I spent my time catching real bad guys, you were still a better Nite Owl than I ever was.
dan		That's bullshit, Hollis, and you know it. They hug.
hollis		With all this talk of war, all that's going on in the world, it's a shame the government forced all you guys out. Before Dan can answer he notices a breaking news report on the TV:
anchorwoman		This just in--masked vigilante Rorschach has assaulted a New York City police officer who was guarding a crime scene in the early morning hours. Rorschach is on the FBIs ten most wanted list for violation of the Keene Act, which banned masked heroes ten years ago. Dan and Hollis watch as an image of Rorschach flashes on screen.
hollis		Well, forced all of you guys out except one.
gang leader		Move your leg.
dan		What?
gang leader		I said move, dick. Dan finally realizes what he's talking about. Dan meets his eyes, for just a moment and draws back his leg. The Gang Members snicker at Dan as they pass.
dan		Rorschach. Rorschach sits at the table, mask half up, eating a cold CAN
rorschach		Hello Daniel. I helped myself to some beans. You don't mind?
dan		No, of course not. You uh, want me to heat some up for you?
rorschach		No need.
dan		You were on the news. They say you attacked a cop.
rorschach		Minor wound. Won't need hospitalization.
dan		Other than that . How have you been keeping?
rorschach		Out of prison. So far. Look at this. He tosses Blake's happy face pin onto the table. Dan picks it up, runs his fingers over the RED-BROWN SPLOTCH.
dan		This little stain, is that bean juice or--
rorschach		Human bean juice. It belonged to the Comedian. He's dead.
dan		The Comedian? Nervous now, Dan glances out the window. DAN  Let's talk downstairs.
dan		How did it happen?
rorschach		Murder. Someone threw him out a window.
dan		Maybe it was a burglary. The killer might not have known who Blake was.
rorschach		An ordinary burglar? Kill the Comedian? Ridiculous.
dan		You're right. I heard he was working for the government. Maybe it was a political killing.
rorschach		Maybe. Or maybe someone's decided to kill off costumed heroes.
dan		You don't think that's . a little paranoid?
rorschach		Is that what they're saying about me now? That I'm paranoid?
dan		I-'m just saying the Comedian made a lot of enemies over the years, even amongst his friends, if he had any. The man wasn't exactly endearing. Just because something happened to him doesn't mean it involves us.
rorschach		One of our own has been murdered. I thought you might be interested. An attack on one is an attack on all of us, right? Dan hesitates.
dan		I'm out, Rorschach. I've been out, we've all been out. Except you. You know that.
rorschach		Yes. I know that. Anyways, I thought I'd let you know. Just in case.
dan		Yeah, thanks. You can take the tunnel out to the warehouse on Fleet street-- Rorschach turns to walk off down a long, dark TUNNEL.
rorschach		I remember. Used to come here a lot. Back when we were partners.
dan		Yeah. Those were good times, Rorschach. Great times.  What ever happened to them?
rorschach		You quit. Rorschach disappears into the SUBWAY TUNNEL, leaving Dan to reminisce alone. Dan glances at his old costume hanging.
hooker		So tell me what you wanna do. Sir.
army officer		Seeing that I don't have to be back to base till Friday--everything. He puts a stack of BILLS on the dresser. Then takes his UNIFORM off like he can't wait. The Hooker gets on top of him- --when the DOOR FLIES OFF THE HINGES. Rorschach steps in, yanks the Hooker off-- --the officer gets to his feet, throws a punch, which Rorschach dodges. Rorschach GRABS the guy's arm, then KICKS the Officer on the side of his KNEE, tearing the joint to shreds. The Officer cries out in pain, falls to the floor-- Rorschach nails him in the head with a BLACK JACK, knocking him out. The Hooker screams. Rorschach grabs her by the hair and SLAMS her face into the wall.
rorschach		Quiet, whore.
dan		I'm here to see Adrian Veidt.
assistant		Do you have an appointment?
dan		No, uh, just tell him Dan Dreiberg is here to see him.
assistant		I'm sorry, Mr. Veidt doesn't see anyone without an appointment.
dan		I understand, but if you would just tell Adrian that Dan Dreiberg is here, I'm an old friend.
assistant		Well, Mr. Veidt is very busy at the
dan		Just tell him I'm here. I assure you he'll see me. Dan glares at her. She glares right back. A game of chicken. She reluctantly gets up, goes inside the office. Once she's gone, Dan's glare disappears, replaced by nervousness. Because he's not sure if Adrian will see him-- it's been a long time. He glances at the SECURITY GUARDS eyeing him. Finally, the Assistant returns.
assistant		Go on in, Mr. Dreiberg.
doug roth		Mr. Veidt, would you acknowledge that you are considered the world's smartest man?
doug roth		If we could move off the subject of business for a moment, I'm curious whether the world's smartest man thinks we're headed for our next World War. Adrian stops the treadmill, towels off as he heads to Dan.
adrian		Predicting stock prices isn't the same as predicting world events. I hope there isn't a war, or even a skirmish for that matter. Because Veidt Enterprises has some exciting plans, plans that will, pardon the cliche, truly make this world a better place. My team of engineers and scientists have been working with Dr. Manhattan himself on synthesizing a new, cheap form of energy which will eliminate the worlds reliance on fossil fuels with no toxic emissions. This energy could power cars, aircrafts, stadiums--there are no limitations-- 
dan		You look good, Adrian.
adrian		Dan--it's been far too long.
adrian		Rorschach. He paid me a visit too.
dan		He did? Must've been tough to get past your security, even for him. I thought your assistant was going to take me out.
dan		You're the world's smartest man, Adrian. You tell me.
adrian		Rorschach's a sociopath suffering through nostalgia. I revealed my identity to the public as soon as the Keene Act was passed. If an old enemy wanted me dead it would have been done already. Adrian notices the news on one of his TV projectors. Something about Pakistan putting troops along the Indian border. Adrian turns up the volume, looking grim.
pakistani soldier		We should attack the Indian bastards. I don't understand-- CUT TO: POV--a SNIPER SCOPE, locked in on the Pakistani soldier.
chinese captain		 --their blue abomination to intervene. And we don't want that. At the same time, we can't assume to know what's on the minds of our enemies. We're in Chinese waters, off the coast of Taiwan. The CHINESE CAPTAIN and his First Mate look out at the water. TAIWANESE GUNBOATS can be seen in the distance.
aide		Is Dr. Manhattan even real?
israeli officer		Why don't you ask the Vietnamese. Or the Iraqis? Dr. Manhattan is real. Thank god for that.
rorschach		Dr. Manhattan. Dr. Manhattan continues about his business when his girlfriend, LAURIE JUPITER, 30, very much in her prime, enters from the other end.
laurie		Jon, did you say some--Rorschach: What are you doing here? You're a wanted man.
rorschach		Nice to see you too, Silk Spectre.
laurie		Don't call me that. My mother made me take that name. I always hated it.
rorschach		Sorry, Miss Jupiter. I thought I should tell you the bad news--the Comedian has been murdered.
rorschach		I have my own theories. But neither of you seem too concerned.
laurie		Well, I might not be able to count molecules, but either way, Blake was a bastard. You know he tried to rape my mother?
rorschach		Sounds like you may have had a score to settle. You or your mother.
laurie		What? Are you accusing--
rorschach		--I'm not here to judge the moral discrepancies of a man who died in service of his country.
laurie		You call rape a moral discrepancy?!
rorschach		I came here to warn you both, just like I warned Adrian and Dan. I believe someone may be targeting masked heroes--
rorschach		It took a lot of effort to get in here. I'm not leaving before I've-- With a look, Dr. Manhattan makes Rorschach disappear.
rorschach		--had my say Rorschach realizes what just happened. Checks himself, his surroundings. Reorients himself. With nothing else he can do, he heads down the road.
yeah		 Are you okay, Jon? Dr. Manhattan pauses for a moment, thoughtful.
laurie		Interference? Caused by what?
laurie		More war talk. I can't deal with this. I don't want to think about the future right now.
laurie		--that time is simultaneous. There's no past to travel back to, no future to travel forward to, everything happens all at once, our actions affect the course of time instantly, yes I know.
laurie		I know. I think I've been cooped up on this base for too long. Rorschach mentioned Dan Dreiberg--we haven't seen him in years. Maybe we can give him a call, see if he's available for dinner tonight.
agent forbes		Going somewhere, Miss Jupiter?
laurie		Out.
agent forbes		I'll have a car brought around in a few minutes.
laurie		No, thank you. I called a cab already-- it's waiting for me outside. She tries to walk past but Agent Forbes steps in front of her.
agent forbes		You look quite nice. Who are you meeting?
laurie		An old friend of mine. And of Dr. Manhattan's. Now step out of my way.
agent forbes		Please keep in mind, Ms. Jupiter, that your boyfriend is this country's most valuable asset. You need to keep him happy. And on our side. Laurie glares at him.
laurie		Yes, sir. She brushes past him as she leaves.
laurie		You remember that crazy guy, what did he call himself . Captain Carnage! Pretended to be a supervillian just so he could get beat up all the time?
dan		Yeah, he tried that with me once. I just walked away but he starts following me down the street in broad daylight yelling, "punish me! punish me!"
dan		Uh, well, he pulled that on Rorschach and Rorschach dropped him down an elevator shaft. They look at each other, serious, then explode in laughter.
laurie		Sorry, sorry, that's not funny. I can't remember the last time I laughed like this. It feels good. Dan looks at her as she finishes her coffee. We can see he's smitten with her and that he probably has been for years. Laurie seems oblivious.
dan		It's great seeing you again, Laurie.
laurie		Yeah, this was fun. The WAITER arrives with the check; Laurie grabs it.
dan		You sure I can't get that?
laurie		Let me put my expense account to use. You can thank Uncle Sam.
dan		They've been watching the whole time?
laurie		Just making sure I'm not doing anything that might upset the country's most powerful weapon.
dan		How is Jon, by the way?
laurie		I really don't know. It's been harder and harder to tell over the years. It's like his emotions are slowly eroding. To be honest, I can't tell if he even cares about me anymore. They're quiet a moment. Laurie glances at her watch.
laurie		Y1 know, when I think back, why did we do it? Why did we dress up like that? I think the Keene Act was the best thing to ever happen to us.
dan		You're probably right.
laurie		I mean, you remember my costume? All that tight spandex? That was awful.
dan		Uh, yeah. Awful.
laurie		And to think my own mother pushed me into that spandex. Pushed me into the whole costume thing in the first place. Wanted her little girl to be just like mommy and fight bad guys.
dan		Yeah. I'd really like that. Laurie crosses the street and gets into the sedan. As Dan watches the car drive off, TWO KIDS nearly bump into him, running around playing. The Kids make flying noises.
kid 1		I'm Dr. Manhattan, saving the Twin Towers!
kid 2		No, I wanna be Dr. Manhattan!
mother		You can take turns, okay? Dan watches the Kids for a moment, then walks away. The Twin Towers looming behind him.
sally		Laurie? Is that you?
sally		I'd figure you'd be used to traveling that way by now.
laurie		Well, I'm not. I hate it when Jon teleports me.
sally		Margarita?
laurie		No. Sally pours herself a margarita from a pitcher on the counter. We see photos, remnants of Sally from her crimefighting days around the condo. Under the pitcher of margaritas is a days old LA Times with the headline: "Dr. Manhattan Intercepts Terrorists At Port."
sally		It's Eddie Blake's funeral today, isn't it? Laurie nods.  FUNERAL: Blake's coffin is removed from the hearse.
laurie		Poor Eddie? How can you say that? After what he--
sally		Laurie, you're still young. You don't understand how things change as time goes by. FUNERAL: Blake's coffin is carried past Adrian, Dan and Dr. Manhattan.
sally		That leaves just two of the old team left. Me and Hollis Mason. She stops at Blake in the photo, regarding him.
blake		Me? I think it's hilarious.
blake		Fantastic. Just what I need.
vietnamese girl		The war is over now. We must talk.  About this.
blake		There's nothing to talk about cuz I'm leaving. I'm gonna forget you and your horrible, sweaty little country. He turns away. Her eyes blaze with betrayal and hatred.
vietnamese girl		No. You will remember. You will remember me and my country forever. She SMASHES a bottle. Blake turns just as the broken SHARDS SLASH HIS FACE, slicing him his jagged scar
blake		You bitch! My face! He PUSHES HER into the bar and DRAWS HIS PISTOL--
blake		That's right! And you know what? You watched me! You could've changed the gun into steam or the bullets into mercury or the bottle into snowflakes, but you didn't, did you? You're drifting outta touch, Doc--I've seen it. Don't tell me the war got to you. Blake walks off shouting "Medic!" Dr. Manhattan turns to the girl's body and regards it, curious. MATCH CUT TO:
adrian		What are you saying, Comedian? Blake, now in his forties, smokes a CIGAR, feet on the table, a FLASK in hand. The PAPER in his hand reads: "Arab Leaders Call Dr. Manhattan: 'America's Weapon of Satan."'
blake		What I'm saying is this whole bringing back the Watchmen thing is bullshit. It didn't work twenty years ago, and it ain't gonna work just because you want to keep on playing Cowboys and Indians.
dan		Maybe we should agree on no drinking at meetings. Look, Rorschach and I have made real headway on the gang problem by pooling our efforts. Rorschach's voice is quiet, not yet its tortured rasp.
rorschach		That's true. But something like this seems too big. Too bureaucratic.
adrian		Bureaucracies can be effective with the right leadership--
blake		And that would be you, right Veidt? I mean you're the "smartest guy in the world," right?
adrian		It doesn't take a genius to see that the world has problems.
blake		But it takes a roomful of morons to think they're small enough for you guys to handle. You people are a joke. You hear Moloch's back in town and get your panties in a bunch. You think that matters?
rorschach		Of course it does. Justice matters.
blake		Justice. Hilarious. There's no such thing as justice. He stands, moving to Adrian's DISPLAY which outlines the Watchmen's agenda: GANGS, RACKETEERING, DRUGS. Blake flicks his ZIPPO and the display GOES UP IN FLAMES.
adrian		My display .
blake		Justice doesn't matter, alright? Because twenty years from now we're all gonna be dust. Mankind's been trying to kill each other off since the beginning of time and now we finally got the power to finish the job. Ain't nothin' gonna matter when the nukes start flying, and I promise you they will. Then Ozymandias here is gonna be the smartest man on the cinder. He sneers and walks out. Silence. Uncomfortable in the wake of truth, the others pack up to go, muttering apologies to Adrian, but Adrian ignores them, staring at the flames flickering across his face. He seems more thoughtful than upset. MATCH CUT TO:
blake		Crawl back in yer holes before you get hurt! I got rubber bullets!
blake		Okay, that's how you wanna do it?! Smiling grimly, he FIRES TEAR GAS CANNISTERS INTO THE CROWD.
dan		Oh God. 
blake		Hah! You seen this? The smoke clears enough for Dan to see a message SPRAY- PAINTED on a brick wall: "WHO WATCHES THE WATCHMEN?"
dan		How long can we keep this up?
blake		My government contacts tell me they're pushing some new bill through Congress.
dan		Protection from what? Blake laughs, exultant in the blowing smoke, the chaos.
blake		Are you kidding? From themselves. CLOSE ON: the happy face pin on Blake's costume. MATCH CUT TO-
priest		Lord have mercy upon us. Amen. Dan DROPS the pin into Blake's grave. The mourners linger a moment as dirt is shoveled onto Blake's casket, then start filing out. We follow one particular mourner all the way in the back--a LONE MAN, as he walks away.
rorschach		Edgar William Jacobi. Also known as Edgar William Vaughn. Also known as William Edgar Bright. Also known as Moloch.
moloch		What are you talking about? I'm a retired business maaAAAHHH!
rorschach		Lie again, I'll break your arm.
moloch		Oh God, please. I did my time. I'm not Moloch anymore. What do you want from me? Rorschach lets him go. Moloch's hollow eyes follow him.
rorschach		You attended a funeral today. Why?
moloch		The funeral? I don't know why I went. I just felt I should. I'd been thinking about the Comedian-- Rorschach SLAMS Moloch against the wall.
rorschach		How did you know Blake was the Comedian?
moloch		He broke in here! A week ago! He, he had his mask off. He was drunk--
rorschach		You were enemies for forty years. Why would he visit you?
moloch		I don't know! I woke up in my bedroom and there he was! He was upset! Crying!
rorschach		The Comedian? Crying?
moloch		He, he was babbling, not making sense. I was pissing in my pants--I thought he was going to kill me!
rorschach		What did he say?!
moloch		He said he was wrong. About it all being a joke, that it wasn't funny anymore. He said he was scared--
rorschach		Scared of what?!
moloch		Something he saw, I think. He said something about wishing he never broke into that building. But that he had to keep his mouth shut. Then, then he left! Rorschach studies Moloch a moment, then releases him.
rorschach		Hm. Funny story. Sounds unbelievable. Probably true. Rorschach glances around the kitchen. He opens some drawers, looking inside. He picks up a stack of MAIL, flips through it. One of the envelopes contains a PENSION CHECK from "Pyramid Industries."
moloch		So that's it? I'm clean?
rorschach		Clean? I searched your house. Found illegal drugs.
