****Dialogues from script :White_Squall.txt****

minister		I didn't know Richard Sheldrake personally, but his many friends who knew and worked with him, wanted to make sure that he was returned home, here, to be remembered with his beloved wife...
sammy		OK.  I really hope we can still be friends.
bob		 Oh, yes, me too.
sammy		Bob... This is so crazy... I mean... I don't even understand why you... I don't even get it.
bob		What do you want me to say? Everything you said about me was true, Sammy. I was just a big chickenshit jerk, and now I'm payin' the price.
sammy		Bob...!
bob		What?
sammy		Well -- I don't know...
bob		I don't know. Sammy, I love you. I wish I could say it in a more interesting way. I just -- I love you.
sammy		Well -- I mean -- I love you too --
sammy		Oh shit.
bob		What's the matter?
sammy		I gotta go. I'm sorry --
bob		Where do you have to go?
sammy		 I'm supposed to -- I gotta get Mabel back her car.
bob		Well... I don't understand. How are we leaving things?
sammy		Oh God, I don't know. Call me later.
sammy		Sorry I'm so late.
brian		Yeah, I was just about to give up on you.
sammy		Well -- maybe it would've been better if you had...
sammy		I mean -- Look, I don't mean to be unsympathetic about your domestic situation, whatever it is, but I'm just beginning to think that if people tried a little harder to stick to their commitments and started taking a little responsibility for their actions, they might end up having a lot less trouble generally. That's all.
brian		Hey, that's what I've been trying to tell you guys at the bank.
sammy		Well, I really don't think I can do this anymore.
brian		OK.
sammy		This is incredible.
brian		Mmmm.
sammy		That is not what I mean.
rudy		Maybe we should call first.
terry		Well -- We're right here.
terry		Come on.
terry		There he is.
rudy		His last name is Kolinski?
terry		Yeah. Ring the bell.
janie		Yes?
terry		Hi. We're looking for Rudy?
janie		Who should I say is calling?
terry		An old friend.
janie		He says an old friend!
terry		Hey, Rudy.
terry		 Hi, I'm Terry.
janie		Hello.
terry		And this is Rudy.
janie		You don't say.
terry		Rudy, meet Rudy.
janie		I'll just be in the kitchen.
terry		Nice to meet you.
terry		OK if we come in for a minute?
terry		What do you mean what am I doin' --
terry		Well we just wanna --
terry		All right, all right.
terry		I just wanted the kid to see you --
terry		Man, you are really --
terry		I just wanna --
terry		You know what, man? You're still a fuckin' asshole.
janie		Get your fuckin' hands off him...!
janie		They just showed up! We never seen them before...
terry		I just came down here to talk to the guy and all of a sudden he starts shovin' me!
terry		 You're a lyin' fuckin' piece of shit.
janie		We have a right to protect ourselves. What else do you need to know?
terry		This is such bullshit. He started the whole thing and you're arresting me?
sammy		What time is it?
brian		 What's the matter?
sammy		Oh my gosh.
brian		Hey, you know, Nancy's gonna be gone for the rest of the week...
sammy		You know... Brian...
brian		Yeah?
sammy		Well, I don't want to... I mean, couldn't we just... I mean, could we give it a rest?
brian		Um -- Yeah. Sure. If you want to.
sammy		I mean... I just think... I don't know: We had a great little fling. You know? Let's not push it.  I mean, is that OK? I just --
brian		Yeah. Sure. OK. You're right.
sammy		So are we still friends?
brian		 Mm hm. Sure.
sammy		All right. Good...!
sammy		Around two o'clock this afternoon... Yeah, a ninety three Toyota Tercel. New York plates V127AC... Please.
sammy		Thanks for coming over. I just want to have a car handy just in case.
bob		No problem.
sammy		 Well -- what about other towns?... Yes! Yes! I called the highway patrol four times... Well what am I supposed to do all night?
sammy		 Hello?
brian		Anyone hear from Sammy this morning?
mabel		I didn't.
brian		Uh huh. Well, if anyone ever hears from her ever again, will you let me know?
mabel		Yes.
sheriff		It's gonna be all right... We got on the phone and talked to Rudy Sr. a little bit and he's calmed down, just wants to forget about the whole thing...
sammy		Darryl, I really appreciate this...
sammy		Hello?
brian		Yeah, it's Brian.
sammy		Brian --
brian		What the hell happened to you today, lady?
sammy		Hello?
brian		You're fired!
sammy		GOOD!
sammy		Rudy?
rudy		Yeah?
sammy		Is there anything you want to ask me, about your father?
rudy		Oh, that wasn't my father.
sammy		What?
rudy		That wasn't him. I heard him tell the cops.
sammy		No -- Rudy -- that was him. But that was him. I wish it wasn't, but it was.
rudy		 No it wasn't.
sammy		Rudy. Yes it was. Your father's name is Rudy Kolinski. He lives in Auburn...
sammy		Could you turn that off for a minute please?
terry		You don't have to say anything, Sammy.
sammy		I want you to leave.
terry		What do you mean?
sammy		I mean I don't think you should live here anymore. I don't think you know how to behave around an eight-year- old and I don't know how to make you stop, so I think you shouldn't live here. I don't know what else to say.
terry		I don't know how to behave around an eight-year-old?
sammy		That's right --
terry		I think you don't know how to behave around an eight-year-old.
sammy		Are you out of your MIND!?!
sammy		Now you just listen to me. I may not be the greatest mother in the world, but I'm doing the best I know how. And he doesn't need you to rub his face in shit because you think it's good for him. He's going to find out the world is a horrible place and that people suck soon enough, and without any help from you. Believe me!
sammy		I think you should get your own place. I thought, if you want, you could -- I'll be glad to help you out financially --
terry		What do you mean, Get my own place?
sammy		I mean I --
terry		You mean in Scottsville?
sammy		Yes.
terry		Why would I do that? Why don't I just leave, period?
sammy		 Well... If that's what you want to do, that's fine. But that's not what I'm saying. You are a very important person to Rudy, and you are the most important person to me. But I'm saying that I can't take any more of this --
terry		Well --
sammy		-- I thought -- maybe you could sell your half of the house to me, and I could pay you whatever it is over a certain amount of time, and that way --
terry		No, you know what? I'll just go.
sammy		 Well -- that's not what I'm saying.
rudy		Where are you going?
terry		I don't know. I just want to get out of this town. And if you've got any sense when you get old enough you'll get out of here too. Your Mom's gonna live in this town for the rest of her life, and you know why? Because she thinks she has to. Don't ask me why, but that's the truth. She thinks there's all these things she has to do, but you want to know one thing about your Mom? She's a bigger fuck- up than I ever was. I mean, I know I messed up. You think I enjoy getting thrown in jail because I wanted you to face that prick your Dad like a little man and see what kind of a guy he is? I know I got a little carried away, and I lost my temper just a little bit -- which is not the end of the world either, by the way, just for future reference --And now she's kickin' me out of my own house because -- you know, because I fucked up a little bit. Which I totally admit. I was like -- totally ready to admit that.
rudy		I could go with you.
terry		Well, thanks, man. But I, uh, I can't really take care of you.
sammy		Is that for you?
terry		Yeah, I'm just gonna stay at Ray's till I take off.
sammy		You don't have to do that.
terry		Yeah. Well, that's what I wanna do, so --
sammy		Well but -- Are you gonna come back to say good-bye?
terry		No -- I'm just gonna take off. I'll see you later.
sammy		Well --
sammy		Look. I know you're upset about Uncle Terry leaving, and so am I. But he's just not in control of himself, and I don't want him hurting your feelings anymore -- or mine. And you may not like it, but that's how it's gotta be. OK?
rudy		I don't care.
sammy		You don't care. I don't care either.
brian		Well... I'm sorry you're havin' all this trouble...
sammy		Thank you.
brian		But you made a pretty good speech to me yesterday about people sticking to their commitments...
sammy		Yeah...?
brian		Well... you made a commitment to this bank, Sammy. To this job.
sammy		I know I'd --
brian		And to working things out with this tough new son of a bitch boss of yours. And whatever might have passed between us after hours doesn't mean you just walk away from that commitment -- yeah, even when you have a legitimate family emergency.
sammy		I'm really sorry I didn't --
brian		Which is why I think in the calm cold light of day, we should both think real hard about whether or not you really want to continue on here at Merchants National Trust.
sammy		You're not serious.
brian		...you're not happy, I'm not happy, it's not good for you and it sure as heck isn't good for the bank.
sammy		You know you're the worst manager we've ever had?
brian		Come on, Sammy...
sammy		By far the worst.
brian		...I don't wanna trade insults with you.
sammy		Well, I don't want to be fired, Brian. I've been working here for seven years.
brian		Well --
sammy		And if I were you I'd be a little nervous about firing an employee I just had an affair with. OK?
brian		That's -- Don't threaten me, Sammy: I'm not threatening you. I -- It's just an area I think we should explore.
sammy		I'm not thr -- You explore it. I'm going back to work.
sammy		Oh, and I have to pick up Rudy today because there's no one else to do it. But I'll find someone as soon as I have time.
brian		Yeah. Fine. Why don't you just take over the whole bank?
sammy		Well, I called where Uncle Terry said he was gonna stay, and there was no answer, so I don't know if he's still in town or not.
sammy		Rudy? Are you not speaking to me?
sammy		Well, I'm sorry you're so mad at me, but I only did what I thought I had to do, and I hope you don't stay mad at me for the rest of your life.
sammy		Rudy, that's too much.
sammy		You gotta cut this out!
rudy		What did I do?
sammy		You don't know what you're talking about! There was nothing else I could do! I can't explain it better than that, but you can't go on like this because you don't know anything about it and you don't know what you're doing!
rudy		 OK, I'm sorry!
sammy		I don't want you to be sorry, I just want you to STOP IT!
rudy		I will! I will! I'm stopping, I'm sorry.
rudy		See? I'm stopping! I'm not doing it. See? I'm not.
terry		 Ray's house.
sammy		Hi.
sammy		I didn't know if you left yet.
terry		No -- I'm leavin' tomorrow.
sammy		Well -- What time?
terry		There's a bus at nine.
sammy		Well -- Can I -- I'd like to see you before you go. I mean, can I give you a lift? Or do you want to have breakfast or anything? And I think Rudy would really like to say good- bye.
terry		Yeah -- I don't know... I mean --
sammy		Terry, you can't just leave like this. I --
terry		All right, all right. I'll come by in the morning.
sammy		All right -- But just -- We have to be out of the house by eight, so -- I don't want to tell Rudy you're coming unless you really think you can make it --
terry		Yeah -- No -- I'll be there.
sammy		All right.
terry		All right.
sammy		You should get your sneakers on.
sammy		Sweetie, I'm sorry, we have to go.
rudy		Why can't I miss school one day?
rudy		Hi!
terry		Hey, how's it goin', man?
terry		Sorry I'm late.
terry		So Rudy... If I write you a letter, will you write me back?
rudy		Yeah.
terry		OK, well, that's gonna be pretty nice for you, because I write a pretty Goddamn interesting letter.
rudy		Yeah, we'll see.
terry		All right. Well, say good-bye.
rudy		Bye.
sammy		Do you need some cash for the bus?
terry		No, I got a few bucks... Aren't you gonna be late for work?
sammy		Oh -- Yeah. That's OK.  Terry, I don't even know where you're going.
terry		Oh, well, I didn't really have a concrete plan yet. I have to go back to Worcester and get my stuff...
sammy		Oh, are you gonna try to see that girl?
terry		Well... Yeah... You know... Thought maybe I'd try to show my face... Let her brother have a crack at me...
sammy		What?
terry		No...
sammy		...I don't want anyone to have a crack at you.
terry		I'm just kidding. I just thought... Just thought I'd check up on her...  Anyway, after that, I don't really know. I've been thinking about Alaska a lot. I still got some friends out there. I don't really know. Anyway, I'll write you.
sammy		You will?
terry		Sure, Sammy. Of course I will. You know that.
sammy		What is gonna happen to you?
terry		Nothing too bad... But I gotta tell you, I know things didn't work out too well this time...
sammy		Well, Terry --
terry		...but it's always really good to know that wherever I am, whatever stupid shit I'm doing, you're back at my home, rooting for me.
sammy		I do root for you.
terry		Come on, Sammy. Everything's gonna be all right... Comparatively... And I'll be back this way...
sammy		I feel like I'm never gonna see you again...!
terry		Of course you will, Sammy. You never have to worry about that.
sammy		Please don't go till you know where you're going. Please...!
terry		I do know where I'm going. I'm going to Worcester and I'm gonna try to see that girl. And then depending on what happens there, I thought I'd try to see if there's any work for me out West. And if there is, I'm gonna head out there for the summer and try to make some money. And if there isn't, I'll figure something else out. Maybe I'll stay around the East. I don't know... I really liked it in Alaska. It was really beautiful. You just -- It made me feel good. And before things got so messed up I was doin' pretty well out there. Seriously. But I couldn't stay here long, Sammy: I don't want to live here. But I'm gonna stay in touch. And I'll be back. 'Cause I want to see you and I want to see Rudy. I'll come home for Christmas. How about that? We'll have Christmas together.  Come on, Sammy. You can trust me...
terry		Come on, Sammy... Look at me... Look at me...
terry		Hey, Sammy... Remember when we were kids, remember what we always used to say to each other . . .?  Remember when we were kids?
sammy		Of course I do...!
****Dialogues from script :You_ve_Got_Mail.txt****

kathleen		Good morning.
frank		 Listen to this -- the entire work force of the state of Virginia had to have solitaire removed from their computers --
frank		 -- because they hadn't done any work in six weeks.
kathleen		Aren't you late?
frank		 You know what this is, you know what we're seeing here?  We're seeing the end of Western civilization as we know it.
kathleen		This is so sad.
frank		 I'm late.
frank		Sushi.
computer		Welcome.
kathleen		Brinkley is my dog.  He loves the streets of New York as much as I do --
voice		Darling --
joe		Mmmmmhmmm --
patricia		I'm late.  Vince got a great review.  He'll be insufferable.  Tonight,  PEN dinner --
joe		Am I going?
patricia		You promised.
joe		Can't I just give them money?  That's the cause?  Free Albanian writers?  I'm for that.
joe		All right, I'll go.  You're late.
patricia		I know I know I know.
kathleen		Hello, Christina.  It's a beautiful day. Isn't it the most beautiful day?
christina		I guess.  Yeah, sure.
kathleen		Don't you love New York in the fall?
christina		What's going on with you?
kathleen		Nothing.
christina		You're in love.
kathleen		In love?  No.  Yes.  Of course I am. I'm in love with Frank.  I'm practically living with Frank.  Do you think you could get our Christmas mailers out this week?
christina		By Monday I promise.  I have a paper due Friday.  Now what's going on?  I'm just going to stand here till you tell me.
kathleen		Is it infidelity if you're involved with someone on E-mail?
christina		Have you had sex?
kathleen		Of course not.  I don't even know him.
christina		I mean cybersex.
kathleen		No!
christina		Well, don't do it.  The minute you do, they lose all respect for you.
kathleen		It's not like that.  We just E-mail. It's really nothing, on top of which I'm definitely thinking of stopping because it's getting --
christina		Out of hand?
kathleen		Confusing.  But not really.  Because it's nothing.
christina		Where did you meet him?
kathleen		I can't even remember.  The day I turned thirty I wandered into the Over Thirty Room for a joke, sort of and he was there, and we started chatting.
christina		About what?
kathleen		Books.  Music.  How much we both love New York.  Harmless.  Harmless.  Meaningless.  Bouquets of sharpened pencils.
christina		Excuse me?
kathleen		Forget it.  We don't talk about anything personal.  We made a rule about that. I don't know his name, what he does or exactly where he lives, so it will be really easy to stop seeing him, because I'm not.
christina		God, he could be the next person to talk into the store.  He could be...  George.
george		Morning.
christina		Are you On Line?
george		As far as I'm concerned, the Internet is just another way to be rejected by a woman.
kathleen		Good morning, Birdie.
birdie		What are you all talking about?
christina		Cybersex.
birdie		I tried to have cybersex once but I kept getting a busy signal.
christina		I know, I know.  One Saturday night I was really depressed about not having a date, so I thought, no problemo, I'll go on line and I won't be lonely, but I couldn't get on, there were hundreds of thousands of people who didn't have dates trying to get on.  You have to wonder which is harder, getting a date or getting On Line when you don't have a date.
george		Getting a date is harder.
kathleen		 Jessica and Maia, how are you today?
kathleen		Hey, you forgot to pick up the garbage last week and I got a ticket.  And you're late today -- I could have gotten another.
kathleen		Of course there was --
kathleen		That guy went ballistic on me.
christina		I hope you told him off.
kathleen		Not exactly.
kevin		The electrical contractor called.  His truck hit a deer last night, he won't be in 'til tomorrow.  The shelves are late because the shipment of pine had beetles. And there's some question about whether we're installing the stairs in the right spot --
joe		That sounds great.
kevin		Testing one two three four.
joe		Is the electrician here?
kevin		I just told you -- he hit a deer.
joe		I hear nothing.  Not a sound on the city streets, just the beat of my own heart. I think that's the way it goes. Something like that.
kevin		 Did you and Patricia get engaged?
joe		Engaged?  Are you crazy?
kevin		I thought you liked Patricia --
joe		I love Patricia.  Patricia's amazing. Patricia makes coffee nervous.  Are we still on schedule?
kevin		We open two weeks before Thanksgiving.
joe		I guess we should announce ourselves soon.  Tell people we're coming.
kevin		This is the Upper West Side of Manhattan. The minute they hear they'll be lining up --
joe		-- to picket --
kevin		-- the big bad --
joe		--chain store --
kevin		-- that destroys --
joe		-- everything we hold dear.  But we'll seduce them with our square footage and our deep armchairs and our amazingly swift checkout lines and our discounts and our...
joe		They hate us in the beginning, but we get them in the end.  Meanwhile we should just put up a sign -- Coming soon, a Foxbooks Superstore and The End of Western Civilization As We Know It.
joe		Kevin and I are both a little concerned about the neighborhood response --  What is this fabric?  Does it have a name?
nelson		Money.  Its name is money.
joe		Gillian selected it.
nelson		Of course.
schuyler		Your father is getting married again.
joe		Oh, great, congratulations, Dad.  Why?
nelson		Who knows?  Why does anyone get married?
joe		Love.
nelson		Yes, that is one reason.
schuyler		I think you're a damn fool.
nelson		Dad, Matthew is four.  It would be nice for him if his parents were married.
schuyler		Annabel is eight and I'm not married to her mother.  I can't even remember her mother's name. 
joe		I have a very sad announcement to make. City Books on 23rd Street is going under ...
nelson		Another independent bookstore bites the dust --
schuyler		On to the next.
joe		And I'm buying their entire stock -- architecture, New York history -- for the new store.
nelson		How much are your paying?
joe		Whatever it costs, it won't be as much as this exquisite mohair episode.  We're also going to have a section on West Side Writers --
schuyler		-- as a sop to the neighborhood.
nelson		Perfect.  It'll keep those West Side liberal nut pseudo-intellectual bleeding hearts --
joe		Readers.  They're called readers.
nelson		Don't romanticize them.  It'll keep them from jumping down your throat --
schuyler		What's the competition?
joe		One mystery store.  Sleuth, on 86th and Amsterdam.  And a children's bookstore. The Shop Around the Corner.  Been there forever.
schuyler		Cecilia's store.
joe		Who's that?
schuyler		Cecilia Kelly, lovely woman.  I think we might have had a date once.  Or maybe we just exchange letters.
joe		You wrote her letters?
schuyler		Mail.  It was called mail.
nelson		 Stamps.  Envelopes.
joe		Wait.  I've heard of it.  It was a means of communication before I was born.
nelson		Exactly.
schuyler		Cecilia had beautiful penmanship. She was too young for me, but she was... enchanting.  Her daughter owns it now.
nelson		Too bad for her.
tv reporter		The body of a woman was found this morning on the roof of a New York building...
tv reporter		Here is a resident of the building.  Your name, please?
george		George Pappas.
reporter		Did you see or hear anything unusual last night?
george		No.  I didn't go out.
reporter		The victim was red-haired, about thirty- five, wearing a jogging suit.  Did you encounter anyone by that description in the building?  Sir?
reporter		Have there been any wild parties lately?
reporter		Could it perhaps be one of your neighbors?
reporter		 As you can see, no one here knows anything.
christina		 What?
george		The coup de foudre. I had one. I never believed in them, but I just had one.
birdie		Is that the thing where you get cold suddenly, bang?
christina		No, that's the coup de vieux.
birdie		I had that.
george		The coup de foudre is where you get love suddenly, bang.  A thunderbolt.
birdie		I had that too.  Only I had it in Seville, where it was called ,el estruendo de amor.
george		I don't know her name, or anything about her.  I may never see her again.
christina		And if you ever do meet her, you'll find out all the horrible details, and that will be that.  She'll turn out to have pictures of the Virgin Mary all over the walls.
george		I won't care.
kathleen		Can someone help me out here?
christina		George had a coup de foudre.
george		And Christina's making fun of me.
kathleen		Don't let her.  I believe in this, I completely believe in this.  It happened to Madame Bovary, at least six times.
christina		And she was wrong every time.
kathleen		Yes!  Who was she?
george		I don't know.  She was standing outside my building with the police and the reporters.
kathleen		What police and reporters?
george		Someone died.
kathleen		Who?
george		I have no idea about that either. They found her on the roof.
kathleen		A dead body.  That's so sad.  But you fell in love.  That's so great.
george		Oh.  One other thing.
christina		Quel nightmare.
kathleen		It has nothing to do with us. It's big, impersonal, overstocked and full of ignorant salespeople.
george		But they discount.
kathleen		But they don't provide any service.  We do.
kathleen		So really it's a good development.  You know how in the flower district, there are all these flower shops in a row so you can find whatever you want.  Well, this is going to be the book district. If you don't have it, we do.
birdie		And vice versa.
frank		When you are finished with Foxbooks, the Shop Around the Corner is going to be responsible for reversing the entire course of the Industrial Revolution.
kathleen		That is so sweet, Frank.  Thank you. That is so sweet.
frank		Hey --
kathleen		Although...
frank		What?
kathleen		 What is that doing there?
frank		Listen to it.  Just listen--
frank		The Olympia Report deluxe Electric Report.  As in gunshot.
kathleen		That sound is familiar.
frank		Now listen to this.
kathleen		That whirring?
frank		The gentle and soothing lullaby of a piece of machinery so perfect --
kathleen		I know where I've heard it before.  I know.
frank		I needed a backup.
kathleen		Don't you have another one at your apartment?
frank		I might, I might.  So what?
kathleen		You're turning my apartment into a typewriter museum.
frank		I'll stop.  I'll try.  I probably can't. I see one and my knees go weak.  Anyway, what were you starting to say?
kathleen		When?
frank		Before.
kathleen		Nothing.
frank		Come on.
kathleen		I don't know.  I was just wondering about my work and all.  I mean, what is it I do exactly?  All I really do is run a bookstore --
frank		All you really do is this incredibly noble thing --
kathleen		But I don't know if I --
frank		 Kathleen --
kathleen		But I just --
frank		You are a lone reed.
frank		You are a lone reed waving in the breeze standing strong and tall in the corrupt sands of commerce.
kathleen		 I am a lone reed.
christina		I went to the Foxbooks Website and you can buy anything.  They ship it to you in a day.  Maybe we should get a website.
kathleen		My mother would never have wanted us to have a website.  "Every book you sell is a gift from your heart."  She always said that.
christina		What if they put us out of business?
kathleen		It's out of the question.  We're a fixture in the neighborhood.  We're practically a landmark.  Men For Women, Women for Men, Women for Women -- what is this?
christina		You fill out one of these forms and they file it in the book and if someone wants to meet you, they arrange it.
kathleen		What a stupid way to meet someone.
christina		Compared to the Internet?
kathleen		My little thing on the Internet is just a lark.
christina		So it's still going on?
kathleen		And I do not plan to meet him.  Why do I get the feeling that you are in here somewhere?
christina		I came in here one night and drank too much coffee and filled one out.  Well how am I supposed to meet someone?
kathleen		You are a runner.  Some day you will make eye contact with another runner and --
christina		No one ever even looks at me.  They don't.  On top of which, who are they? They could like the symphony.  I could never fall in love with someone who likes to go to the symphony --
kathleen		I know.  What are you supposed to do there?
christina		I don't know.
kathleen		Sit.  You're supposed to sit.
christina		I could never fall in love with anyone who smokes cigars either.
kathleen		I'll tell you what I hate.  Big fat legs like stumps.
christina		Yeah.  I hate that too.
kathleen		The worst, the worst -- I could never, under any circumstances, love anybody who had a sailboat.
christina		Neither could I.
kathleen		If I had to get up on Saturday morning knowing that I was about to go down to the pier and unravel all those ropes and put on all that sunblock --
christina		All that talk about the wind.
kathleen		And then you have to go out on the boat, and you sail and sail and sail until you are bored witless, and then, only then, do they say, let's turn around and you realize the trip is only half over, only it's not, because the wind has changed --
christina		It hasn't changed.  It's died.
kathleen		So then there's more talk about the wind. While you just float up and down trying not to get nauseous.  And when you finally get back, you have to clean up the boat.
christina		Why don't people have boat maids?
kathleen		I know.  There're all these people who wouldn't be caught dead polishing a doorknob in their house but put them on a boat and they want to rub down everything in sight.
annabel		Joe --
joe		Hello.  Annabel, how are you today?
annabel		Great.
joe		 Hey, big guy --
gillian		Don't I get a hello?
joe		Hello, Gillian.
gillian		Kiss me.  I'm going to be your wicked stepmother.
joe		Who is this?
gillian		Nanny Maureen.  I brought her in case you couldn't handle the kids.
annabel		Maureen's getting a divorce.
joe		I'm sorry to hear that.
maureen		It's my own fault.  Never marry a man who lies.
joe		That is so wise.  Remember that, Annabel.
annabel		She taught Matt to spell his name.
matt		Fox. F-O-X.
joe		Excellent, Matt.  You must be late for something. Volunteer work at the Henry Street Settlement.  Packing bandages for Bosnian refugees.  A course in Chinese literature at Columbia.
gillian		I am.  I'm having my eggs harvested.
kathleen		This is her best friend Tacy, whose real name is Anastasia, and then in the next book Betsy and Tacy become friends with Tib, whose real name, I am sorry to tell you, is Thelma.
george		The illustrations are hand-tipped, which is why --
joe		It costs so much.
george		It's why it's worth so much.
annabel		I want all of them.
kathleen		That might be an awful lot for your dad to buy at one time.
annabel		My dad gets me all the books I want.
kathleen		 Well, that's very nice of him.
annabel		That's not my dad.  That's my nephew --
kathleen		Oh, I don't really think that's your nephew --
joe		It's true.  Annabel is my aunt.  Aren't you, Aunt Annabel?
annabel		And Matt is --
kathleen		Let me guess.  Are you his uncle?
matt		No.
kathleen		His grandfather?
matt		 I'm his brother.
joe		Annabel is my grandfather's daughter. And Matt is my father's son.  We are an American family.
annabel		What is that?
kathleen		A handkerchief.  Oh my, do children not even know what handkerchiefs are?  A handkerchief is a Kleenex you don't throw away.  My mother embroidered it for me -- you see?  My initials and a daisy, because daisies are my favorite flower.
annabel		Orchids are my favorite flower.
kathleen		 You know what else children don't know? They don't know what a telephone booth is?
joe		Who are you?
kathleen		Kathleen Kelly.  I own this store. Are you are?
joe		Joe.  Just call me Joe.  We'll take these books.
kathleen		These are wonderful books.  As Annabel gets older the characters in the books do, too.  You can grow up with Betsy.
george		You're going to come back again, aren't you?
joe		Of course.
george		This is why we're never going to go under.  Our customers are loyal.
kathleen		 They're opening a Foxbooks around the corner.
annabel		Foxbooks!  My Daddy --
joe		 -- likes to buy at discount.  Don't tell anyone that, Annabel, it's nothing to be proud of --
matt		 F-O-X.
kathleen		That's amazing.  You can spell fox.  Can you spell dog?
matt		F-O-X.
joe		Matt, look at this dinosaur book. Wouldn't you like a dinosaur book? Annabel, maybe you could read this to Matt while I wrap things up here.  Sit down, read, and don't listen to anything I say.
joe		And the dinosaur book too.
kathleen		The world is not driven by discounts, believe me.  I've been in business forever.  I started helping my mother here after school when I was six years old.  I used to watch her, and it wasn't that she was selling books, it was that she was helping people become whoever they were going to turn out to be.  When you read a book as a child it becomes part of your identity in a way that no other reading in your life does.  I guess I've gotten carried away.
joe		You have, and you've made me feel...
kathleen		She was.  How did you know that?
joe		Lucky guess.
kathleen		Anyway.  She left the store to me, and I'm going to leave it to my daughter.
joe		How old is your daughter now?
kathleen		Oh, I'm not married.  But eventually.
kathleen		So Foxbooks can...
kathleen		 Here you go.
joe		We ready?
annabel		Bye, Kathleen.
kathleen		Goodbye, Annabel.  Bye, Matt.  What about cat?  Can you spell cat?
matt		F-O-X.
sarah		 You have a dentist appointment in twenty minutes.  So you should leave soon...
patricia		What's my car number?
sarah		Car?  You didn't say anything about a car --
patricia		Are you an idiot?  Of course I need a car. God!
patricia		Taxi!  Taxi!  Taxi!
patricia		Excuse me -- what are you doing?  This is my taxicab.  Who the fuck do you think you are?
patricia		Yes.
patricia		Veronica, it's Patricia, you should have been there, it was unbelievable, we're going to sell truckloads of your book. Call me.
patricia		Yes.
patricia		Oh, my God, I said fuck to a rabbi.  I'm sorry.
patricia		Yes.
patricia		I'm not really religious.
patricia		You're kidding, right?
patricia		Goodbye.
frank		I saw him.  I actually saw him.
kathleen		Who?
frank		I can't believe it.  I saw William Spungeon.
kathleen		I thought he was in Mexico.
frank		Maybe he's in Mexico, but today he was in New York.  The most brilliant and reclusive novelist in the history of the world is here, in this neighborhood.  He may be living on this very block.
kathleen		Where did you see him?
frank		I was on the subway --
frank		So I followed him.
frank		Do you know what this is worth?
frank		What I was thinking as I was trailing him was that eventually I would have the courage to say hello to him, you know, not in a horrible, intrusive or slavering fan-slash-acolyte kind of way, but more like, "Hi."  "How ya doing?"  "Have you ever thought about trading up in the sock area?"  "Who knows, maybe he's read my work -- and then we'd become friends, and eventually I'd introduce him to you -- you know how much he loves children's books, there's a whole long section in Relativity's Smile about The Wizard of Oz -- and then maybe he'd come out of hiding so he could help save the store.
kathleen		What are you talking about?
frank		From Foxbooks.  I mean, if things got tough, he could help rally support --
kathleen		It's never going to get to that.  The store is fine.
frank		I don't even know why you would say that?
kathleen		Neither do I.  It just flew out of my mouth.
frank		There's enough business for us all.
kathleen		I mean, we're fine.
frank		You're more than fine, you're absolutely fine.
kathleen		We're fine.
frank		Hey, Vince.  Congratulations.  You know Kathleen Kelly.
vince		How are you?
frank		Guess who I saw today on the subway? William Spungeon.
vince		I thought he was in Mexico.
patricia		Would you get me another drink, sweetie? I'm all out.  So then the rabbi says, "It's a very good place to calm down."  Isn't that hysterical?
joe		Absolut on the rocks.
kathleen		A white wine, please.  Oh, hello.
joe		Hi.
kathleen		Remember me, from the bookstore?
joe		Of course I remember you.
kathleen		How's your aunt?
joe		Good.  She's good.  I have to deliver this.  I have a very thirsty date.  She's part camel.
kathleen		Joe.  It's Joe, isn't it?
joe		And you're Kathleen.
vince		I can't believe you were talking to Joe Fox.
kathleen		Joe Fox?  As in --
kathleen		Fox?  Your last name is Fox?
joe		F-O-X.
kathleen		God, I didn't realize.  I didn't know who you -- 
joe		-- were with.  "I didn't know who you were with."
kathleen		Excuse me?
joe		It's from the Godfather.  When the movie producer realizes that Tom Hagen is the emissary of Vito Corleone -- 
kathleen		You were spying on me, weren't you?  You probably rented those children.
joe		Why would I spy on you?
kathleen		I am your competition.  Which you know perfectly well or you would not have put up that sign saying "Just around the Corner."
joe		The entrance to our store is around the corner.  There is no other way to say it. It's not the name of our store, it's where it is.  You don't own "around the corner."
kathleen		Next thing you'll be using twinkle lights.
joe		Twinkle lights?
kathleen		Little white Christmas lights that twinkle.  I use them in my window and on all my displays, as if you didn't notice.
joe		Look, the reason I came into your store is that I was spending the day with Annabel and Matt.  I like to buy them a present when I see them because I'm one of those guys who likes to buy his way into the hearts of children who are his relatives.  There was only one place to buy children's books in the neighborhood -- although that will not always be the case, and it was yours, and it is a charming little bookstore.  You probably sell $250,000 worth of book a year --
kathleen		How do you know that?
joe		I'm in the book business.
kathleen		I'm in the book business --
joe		Oh, I see, and we're the Price Club. Only instead of a ten-gallon can of olive oil for $3.99 that won't even fit into your kitchen cabinet, we're selling cheap books.  Me a spy.  Absolutely.  And I managed to get my hands on a secret printout of the sales figures of a bookstore so inconsequential and yet full of its own virtue that I was instantly compelled to rush over and check it out for fear it would drive me out of business --
frank		Hi.  I'm Frank Navasky --
joe		-- Joe Fox.
frank		Joe Fox?  Inventor of the Superstore, enemy of the mid-list novel, destroyer of City Books -- tell me something: How do you sleep at night?
