****Dialogues from script :Kung_Fu_Panda.txt****

final draft		June 3, 2008
83.		 132   CONTINUED:                                                 132
larry hooper		 I think I know one sir. Holtz ponders the report, tempted.
major holtz		But we don't have the resources.
larry hooper		Well sir...there is goat lab?
lyn cassady		This was the real deal, Bob. I was at the Gateway. Afterwards I realized I'd got injured.
bob		Huh?
lyn cassady		Sympathetic injury I guess. I was bruised all over.
bob		So, it's not that the goat fought back?
bob		But...that was it?
85.		 137   CONTINUED:                                               137
lyn cassady		I wish it was. Hooper told Holtz we should try the experiment again. Only this time they said...kill the goat.
major holtz		Take out number four. Lyn stares at the number.
lyn cassady		There was no way! What had the goat ever done to me? It was totally against the way of the Jedi. I was just going to pretend to try so they would say, "okay - it can't be done" and forget about it. But then, as I sat there, I felt this, this pulse start inside of me and...I couldn't stop it. He turns to look at Bob, haunted.
86.		 141   CONTINUED:                                               141
video footage		Grainy, flickering black and white footage of the six goats in the room. Suddenly one of them goes down.
bob		Collateral damage?
lyn cassady		 That was it. I'd used my powers for evil and it was like I brought a curse upon us all. Like that poem where the guy kills the seagull and they make him wear it round his neck. Every night I'd dream of that goat in its little bib, it's mouth opening and closing but nothing coming out... Bob shakes his head, stares out into the darkness.
87.		 144   CONTINUED:                                                  144
bob		The silence of the goats. Lyn flicks a suspicious glance at Bob, but is reassured by his solemn expression.
lyn cassady		I finished my tour and I quit. I walked out of the unit and I never went back.
lyn cassady		What do you wan...? Before he can finish Larry CHOPS his hand down in an odd blow onto Lyn's forehead. Lyn staggers back a little, holding his head.
bob		The Dim Mak?
lyn cassady		The Dim Mak. The Quivering Palm. The Death Touch. It's like this legendary, martial arts move. It was forbidden in the New Earth Army. Larry had got it from a mail- order book.
88.		 146   CONTINUED:                                                 146
bob		What does the Death Touch do?
lyn cassady		 It kills you Bob. With one touch.
bob		Jesus.
lyn cassady		There's a story that Wong Wifu, great Chinese martial artist, had a fight with some guy and had him beat when the guy gave him this light tap, and Wong looked at him and the guy just nodded. That was it. He'd given him the death touch and Wong died.
bob		Then and there?
lyn cassady		No. Eighteen years later. That's the weird thing with Dim Mak - you never know when it's going to take effect. He flops back, too tired to talk anymore. Bob watches him as he falls asleep.
90.		 150   CONTINUED:                                             150
bob		Lyn?
bob		Lyn! Lyn reaches the sliding doors of the building and drags them open and stands staring into the gloomy interior. Bob catches him up.
91.		 153   CONTINUED:                                                153
bill django		Hello Lyn. Lyn is too choked with emotion for a moment to answer.
lyn cassady		This is Bob.
bill django		Hello Bob. Bob is too amazed to reply.
larry hooper		This is primarily a Psyops base.
92.		 154   CONTINUED:                                                154
bob		Psy for psychic?
larry hooper		Yeah, hadn't exactly done their homework there. Lyn is staring at Bill who is looking a little vacantly at the racks of CD's. Larry notices.
lyn cassady		I remote viewed you. Larry smiles a little mockingly.
bob		If this is Psyops what are you doing here?
larry hooper		I said primarily Psyops. This is a restricted area, you understand? Everything you hear and see stays secret or you go to prison. Bob nods a little nervously.
bob		"Sick?"
larry hooper		It's pronounced psi-ike. Psychic Systems International Corp. Turns out certain people had heard about the New Earth Army and were interested in some of the work we were doing back then. They got in touch with me, I got in touch with Bill.
lyn cassady		 You're working for him? Bill frowns at the CDs, not seeming to hear.
larry hooper		Bill's been looking into subliminal messaging.  This is one we've designed to play to our own troops before combat. He puts the disc in a player and presses play. We hear a burst of a period song.
bob		There's a subliminal message in this?
larry hooper		 Tell them one of our new ideas.
psic worker		Air bag mine?
larry hooper		Air bag mine. Non-lethal mine, catapults the fucker up into air.  Gimme another one.
2nd psic worker		Blast target with pheromones and then release Attack Bees.
94.		 154   CONTINUED:                                            154
larry hooper		Excellent. Attack Bees. The Forces of Nature! Another.
1st psic worker		Project Achilles. We mutilate enemy corpses and...
larry hooper		We're not doing that anymore!  Idiot! He turns back to Lyn.
bill django		 Gonna get some ice-cream. Larry waits until Bill has left before turning back to Lyn.
larry hooper		You get the odd flash of what he used to be but... he's pretty burnt out with the booze. Larry shakes his head in apparent sorrow. Then he notices some candy on a desk.
lyn cassady		It's the Dark Side.
bob		What are you going to do? Lyn stares at the wall.
lyn cassady		It's too late...I'm dying, Bob.
96.		 157   CONTINUED:                                               157
bob		Oh, you're not dying! I don't believe you can kill someone with a mail order Dim Sum. You can't...
lyn cassady		Dim Mak.
bob		Whatever. I don't believe you can just...
lyn cassady		It's cancer.
bob		...just tap someone and ...it... What?
lyn cassady		I mean, I know it was caused by the Dim Mak. But...it's...you know...it's cancer. That's what the doctors say. Different ways of looking at...different names for a reality or, or uh... He lapses into silence. Bob is stunned. Lyn lies down.
bob		I think you should go and see Lyn, sir.  he needs you. Bill doesn't answer.
97.		 158   CONTINUED:                                                158
bob		What isn't?
bill django		The feather. Twenty thousand dollar fine for taking an eagle feather. This one's off a turkey. You just die the tip black.  Don't tell Lyn. Bill stares at the feather.
98.		 158   CONTINUED:                                         158
larry hooper		Oh. Didn't mean to wake you. The two men stare at each other.
larry hooper		How'd you find us?
lyn cassady		I told you. I remote viewed you.
lyn cassady		No.
larry hooper		Yeah, he did. We told Scotty we were coming over here, asked him if he wanted some work.
lyn cassady		I haven't seen Scotty.
larry hooper		That's funny, because he told me he'd run into you and mentioned that there might be some jobs going with us over here.  Isn't that why you came, really, Lyn? You want back in, don't you? Lyn stares at him, disturbed, afraid this might be true.
99.		 159   CONTINUED:                                                 159  LARRY HOOPER  Mother Earth, my life support system. As a soldier I must drink your blue water, live inside your red clay and eat your green skin. Lyn listens, moved despite himself.
100.		 163   CONTINUED:                                                 163
larry hooper		  Don't make a decision now. Tell me in the morning. He pats Lyn's leg, walks out.
bob		Bill? Bill are you okay? Bill opens his eyes suddenly.
bill django		I just saw Timothy Leary.
bill django		I know. He's had an idea.
101.		 166   CONTINUED:                                                    166
bob		Don't eat the jello. Lyn tries to puzzle this out but is distracted by Larry outside who seems to have noticed something in the sand at his feet - a small insect of some kind. He begins to watch it with strange fascination. After a moment he sinks to his knees in order to get a better look at it. One of the SOLDIERS notices and starts to laugh softly. His neighbor looks at him as if he's crazy then begins to laugh himself. Lyn looks around him, sensing the strange atmosphere creeping through the room.
lyn cassady		What's going on?
bob		We put LSD in the jello. Lyn turns to stare at him.
lyn cassady		What?
bob		Bill showed me where Larry had bottles of LSD. So we put it in the jello mix last night.
bob		What?
bill django		I put it in the main water tank as well.
102.		 166   CONTINUED:                                              166
bob		But...we've drunk the water.
army broadcaster		 I'm guessing. I mean, I haven't looked at the, the thing but I'd say it's going to be fucking HOT! Hot. Hot. Hot. The Producer pulls and releases the DJ's headphones so they slap against his head and starts giggling.
103.		 168   CONTINUED:                                               168
soldier		 You're going to hit the gates. You're going to hit the gates. The Stryker veers left and smashes through the perimeter fence and out into the desert.
bill django		That might have aroused suspicion. But don't worry. Over the years I have built up a massive tolerance to all narcotics.
bill django		In the name of the New Earth Army and loving people everywhere I'm liberating this base!
larry hooper		Wow. I'm hungry. He wanders off.
lyn cassady		 Okay, let's go.
lyn cassady		We're very sorry. Ma'assalama.
105.		 174   CONTINUED:                                              174
lyn cassady		 You are the mission Bob! You are the mission! Tell them what happened! The helicopter begins to rise. Bob stands swaying, staring up. Lyn smiles sadly through the window, raises his hand. The Helicopter RISES - HIGHER AND HIGHER. Bob waves goodbye.
bob's editor		Bob?  BOB  Because when I look at what is happening in the world, I know that now, more than ever, we need to become ALL that we can BE. Bob is running.
108.		 181   CONTINUED:                                            181
****Dialogues from script :Men_in_Black.txt****

driver		Goddamn bugs.
agent janus		Well. Nick the Dick. What a surprise. Where you comin' from?
driver		I was fishing in Cuernavaca.
agent janus		Sure you were. What do you say we have a look at your catch?
agent janus		Me, I woulda thrown 'em back. 
kay		We'll take it from here.
agent janus		Who the hell are you?
kay		Really?
dee		Tough call, Kay.
kay		!Oye! Que pasa, coma estas? Hey! 
agent janus		Sir!
kay		Tomen el camion, y vayeuse. 
agent janus		Sir, you can't just --
kay		Don't "Sir" me! You have no idea who you're dealing with!
agent janus		You ever heard of Division 6?
kay		I think you jumped off the bus in the wrong part of town, amigo. In fact, I'll bet dollars to pesos that you're not --
dee		You know how many treaty articles you've just violated?
kay		One, my ass. Try seven.
dee		From unauthorized immigration to failure to properly inoculate prior to landing.
kay		 Okay, that's enough. Hand me your head and put up your arms.
agent janus		Th -- th -- th --
kay		 "That."
agent janus		That wasn't -- wasn't -- wasn't --
kay		Human, I know. Oops. Got some entrails on you.
kay		Okay, everybody, situation's under control, calm down. If you'll just give me your attention for a moment I'll tell you what happened.
kay		Exactly the right question. And the answer lies right -- here. Pay attention.
janus		Who are you, really?
kay		Really? I'm just a figment of your imagination.
agent janus		What -- blast?
kay		Underground gas vein, genius. You guys need to exercise more caution before discharging your firearms.
dee		I'm sorry. About...back there.
kay		Happens.
dee		Didn't used to.
kay		What?
dee		The stars. We never just -- look. Anymore.  I'll tell ya, Kay. I will miss the chase.
kay		No. You won't.
edwards		Stop! NYPD!
cop		All yours, Edwards!
edwards		Grand Central Station off to your left, folks...
edwards		Dammit, man, you're making me sweat up my gear!
edwards		Yo, man, your luck just ran out.
perp		He's coming! He's coming!
edwards		And when he gets here, I'll kick his ass too.
edwards		What the...
edwards		Wassup?
perp		He's coming! He's coming because I failed, and now he'll kill me too!
edwards		Stop!
perp		You don't understand. Your world is gonna end.
edwards		What are you?!
inspector		Perpetrator then blinked two sets of eyelids. You mean blinked with both eyes?
edwards		No, sir. He blinked once with one set, then again with another completely different set.
sergeant		Sort of a low beam, high beam.
inspector		Was that before or after he drew the weapon which you claim evaporated into a million pieces?
edwards		After, sir.
inspector		And why do you suppose none of the other officers saw either of these two events?
edwards		'Cause some of the other officers are a little soggy in the midsection. And they couldn't keep up, sir.
sergeant		Hey, Edwards, if you were half the man I am --
edwards		What do you mean? I am half the man you are.
sergeant		What the hell is your problem?
edwards		My problem is you being all up in my damn face all the time.
sergeant		I think he threw him off the roof. Ten minutes -- your best shot.
inspector		 Sergeant. I want to talk to you outside. Now.
edwards		You need ten minutes on a Stairmaster, you pudgy bastard.
laurel		Laurel Weaver. Deputy Medical Examiner. I believe you. I opened him up. Find me at the morgue. On 26th. I'll tell you what I found.
edwards		Hey...Wait a minute. Wait a minute.
laurel		 You have really pretty eyes.
laurel		Yes. That's right.
kay		Some night, huh?
edwards		Oh, yeah, some night.
kay		They were gills.
kay		Not eyelids.
edwards		Who are you?
kay		Did he say anything to you?
edwards		 Yeah, sure. He said the world was coming to an end.
kay		Did he say when?
edwards		You're kidding, right?
kay		Would you recognize his weapon if you saw it again?
edwards		Absolutely.
kay		Let's take a ride.
edwards		Wait a minute. I got a ton of paperwork.
kay		It's all done.
inspector		Good work, Edwards.
kay		You ran that guy down on foot? That's tough. That's double tough.
edwards		So who you with?
kay		Nothing is what it seems, kid.
edwards		Oh, yeah, my bad '86 Ford LTD. That's a luxury ride. C'mon, who ya with?
kay		I'm part of a secret organization that monitors and polices alien activity on earth.
edwards		This is where we're going?
kay		Really?
edwards		All right, you think it's worth shaking him up, fine. I'll do my thing. Then I want some answers.
kay		Do your "thing," kid.  Edwards goes inside.
jeebs		Officer Edwards. Oh, hey, geez, how'd these get here? I thought I turned 'em in to the proper authorities.
edwards		Way I hear it, Jeebs, you into something a little hotter than some stolen Rolexes.
jeebs		Sure -- I'm a big crack dealer now. I just work here because I love the hours.
edwards		 I'm talking about guns, Jeebs. High-tech stuff.
jeebs		C'mon, Edwards, whatcha see is what I got.
jeebs		H-hiya Kay, how are you?
kay		The imports, Jeebs. Now.
jeebs		You know I got outta that business a long time ago, Kay.
kay		Why do you lie to me? I hate it when you lie.
jeebs		Whoa, whoa, Kay, hold on a minute here...
kay		I'm going to count to three.
edwards		He'll do it, Jeebs.
kay		One.
edwards		I've seen him do it.
kay		Two.
edwards		Talk to me, Jeebs, he's crazy when he's like this.
jeebs		He's always crazy.  Take a cruise. Get a massage --
kay		Three.
edwards		Put down the gun and put your hands on the counter!
kay		I warned him.
edwards		Drop the weapon!
kay		You warned him.
edwards		You are under arrest. You have the right to remain silent.
kay		Will you relax?
kay		Show us what you got, Jeebs. Or I'll use up another one.
kay		Edwards?
edwards		Uh, this. This is what I saw.
kay		You sold a carbonizer with implosion capacity to an unlicensed cephlapoid.
jeebs		He looked all right to me.
kay		A carbonizer is an assassin's weapon, Jeebs. Who was the target?
jeebs		I don't know.
kay		Jeebs!
jeebs		I don't know!
kay		This is all confiscated. All of it. I want you on the next transport off this rock. Or I'll shoot you where it doesn't grow back.
edwards		Yeah. I'll be by tomorrow for those Rolexes.
edwards		The eyelids, fine ... and the jumping thing ... and the gun ... okay, but the head?
kay		Searching for a handle on the moment here? A place to file all this.
edwards		See a head doesn't do that, it doesn't just grow back.  What's going on?
kay		Can't help you, kid. Only comfort I can offer is that tomorrow, you won't remember a thing.
edwards		Oh, no. This I'm gonna remember for a long, long time.
kay		Ever see one of these?
kay		 -- and the wife says yeah, Harry, I know, but this one's eating my popcorn!
edwards		Huh?
kay		Whoops. Gotta run. Thanks for the egg rolls.
edwards		Where am I?
kay		See what I mean about tequila? You're a bright young man, James. Just lay off the sauce. I'll see you tomorrow, nine a.m. sharp.
waitress		Another beer?
edwards		Coffee. Please.
edgar		Figures.
beatrice		What is it, Edgar?!
edgar		 Get your big butt back in that house!
edgar		You can have my gun when you pry it from my cold, dead fingers!
beatrice		What on earth was it?!
edgar		Sugar.
beatrice		I've never seen sugar do that.
edgar		Give me sugar.
beatrice		Edgar, your skin! It's -- it's -- just hanging off your bones!
edgar		That better?
guard		Help you?
edwards		Maybe, I'm not sure, see, I got this card --
guard		Elevator. Push the "call" button.
zed		You're late. Sit down.
edwards		Why, uh -- I'm sorry, it's just no one really asked this, but -- why, exactly, are we doing this?
zed		Son?
ambitious recruit		 Jake Jensen, West Point, graduate with honors. We're here because you're looking for the best of the best of the best, sir!
zed		What's so funny, Edwards?
edwards		I -- I don't know, sir. This guy. "Best of the best of the best of the best of the --"  Humorous. Sir.
zed		Okay. Let's get going.
edwards		Anyone, uh...any of you guys know what we're doing here?
marine		 Looking for the best of the best of the best.
edwards		 Well, yeah, I know, but...
zed		The hell happened?
edwards		Hesitated, sir.
zed		May I ask why you felt little Tiffany deserved to die?
edwards		She was the only one who actually seemed dangerous. At the time.
zed		And how did you come to that conclusion?
edwards		Hook-head guy. You explain to me how he can think with a hook for a head. Answer; it's not his head. His head is that butt-ugly bean-bag thing over there. 'Cause if you look at the snarling beast-guy, he's not snarling, he's sneezing -- he's got tissues in his hand. No threat there, and anyhow, the girl's books were way too advanced for an eight-year-old's. And besides, from where I'm looking, she was the only one who appeared to have a motive. And I don't appreciate your jumping down my throat about it.
zed		He's got a real problem with authority.
kay		So do I. The guy ran down a cephlapoid, Zed. On foot. Tenacity. That I can use.
zed		I hope you know what you're doing.
edwards		You! Hey, what's goin' on?
kay		Back in the mid-fifties, the government started a little underfunded agency with the simple and laughable purpose of making contact with a race not of this planet.
zed		Now, if you'll look directly at the end of this device.
kay		Everybody thought the agency was a joke. Except the aliens. They made contact on March 2nd, 1961, outside New  York City.
edwards		You brought the aliens flowers?
kay		They were intergalactic refugees with a simple request. Let us use the earth as an apolitical zone for people without a planet.  Ever see "Casablanca?" Same thing, no Nazis.  We agreed. So we masked all evidence of their landing.
edwards		The 1964 World's Fair was a coverup?
kay		Why else would we hold it in Queens?  Now left. More nonhumans arrive every year. They live among us, in secret.
edwards		I see. Not to change the subject, but when was your last cat-scan?
kay		Every six months; it's company policy.
edwards		Well, thanks for the very amusing morning, but I'm hopin' you'll show me where I came in?  'Cause this is where I go out.
kay		Yeah, sure, hang on, I wanna grab a coffee while we're right here.
kay		Any given time, around fifteen hundred landed aliens are on the planet, the majority right here in Manhattan. Most aliens are decent enough, just trying to make a living.
edwards		Cab drivers?
kay		Not as many as you'd think. Humans, for the most part, don't have a clue. Don't want one, either. They're happy. They think they've got a pretty good bead on things.
edwards		Why the big secret? People are smart, they can handle it.
kay		A person is smart. People are dumb. Everything they've ever "known" has been proven to be wrong. A thousand years ago everybody knew as a fact, that the earth was the center of the universe. Five hundred years ago, they knew it was flat. Fifteen minutes ago, you knew we humans were alone on it. Imagine what you'll know tomorrow.
edwards		So what's the catch?
kay		What you'll gain in perspective, you'll lose in ways you're too young to comprehend. You give up everything. Sever every human contact. No one will know you exist. Ever.
edwards		Nobody?
kay		You're not even allowed a favorite shirt. There.  That's the speech I never heard. That's the choice I never got.
edwards		Hold up. You track me down, put me through those stupid-ass tests, now you're trying to talk me out of it. I don't get it.
kay		You got 'til sun-up.
edwards		Is it worth it?
kay		You find out, you let me know.
orkin man		Well, well, well. Movin' right in, are we? Think we own the place?
orkin man		 Takin' care of your pest problem.
edgar		"Pest" problem? "Pest?"
orkin man		Yeah. You got a hell of an infestation.
edgar		You know, I have noticed an infestation here. Everywhere I look, in fact. Nothing but undeveloped, unevolved, barely conscious pond scum. So convinced of their own superiority as they scurry about their short, pointless lives.
orkin man		Well -- yeah. Don't you want to get rid of 'em?
edgar		In the worst way.
edwards		One thing you gotta know right now.
edwards		All right. I'm in because there's some next-level shit going on around here, and I'm with that. Before you beam me up, there are a couple of things we need to get straight. You chose me 'cause you recognize the skills. So as of now you can cease with all of that calling me "son" or "kid" or "sport." Cool?
kay		Cool, slick. Now about those skills of yours,
kay		As of this moment, they don't mean much.
passport officer		Purpose of trip?
arquillian		Diplomatic mission.
passport officer		Duration of stay?
arquillian		Lunch.
passport officer		Carrying any fruits or vegetables?
kay		Let's go. He's a little...grouchy.
kay		A couple of hours wait after a 17-light-year flight would get on anybody's nerves.
edwards		What branch of the government do we report to?
kay		None. They started asking too many questions.
edwards		So who pays for all this?
kay		Oh, we hold a few patents on gadgets we confiscated from our out-of-state visitors. Velcro. Microwave Ovens. Liposuction.
kay		 This is amusing. Universal translator.
edwards		What's this?
edwards		Sorry!
kay		Observation, the heart of our little endeavor.
edwards		I gotta be honest about something.
kay		It makes no sense?
edwards		It makes perfect sense. When I was a third grader in Philadelphia, they told me I was crazy 'cause I swore that our teacher was from, like, Venus or something.
kay		Mrs. Edelson.
kay		Jupiter, actually. Well, one of the moons.
zed		What's your jacket size, Edwards?
edwards		Uh -- forty regular.
zed		Then let's put it on.
edwards		Put what on?
zed		The last suit you'll ever wear.
jay		The difference between you and me?
zed		Okay, let's see.  Bee, we got the deposed sur-prefect of Sinalee touching down in the forest outside Portland tonight. I'm pulling you down from Anchorage to do a meet-and-greet.
bee		Humanoid?
zed		You wish. Bring a sponge.  What else -- everybody, we gotta keep Rolling Fish-Goat out of the sewer system, he's scaring the rats. And Bobo the Squat wants to reveal himself on "Unsolved Mysteries." Bee, make sure he doesn't.
zed		Well, well, well -- we got a skimmer.
kay		 Who is it?
zed		Redgick. He's not cleared to leave Manhattan but he's way out of town right now, stuck in traffic on the New Jersey Turnpike. Why don't you take Jay? This is a good one for him to warm up on.
jay		Yo, wussup with Zed?  "Go get em, tiger. We're not hosting an intergalactic kegger..."
kay		Zed was saving the world before you were born, son. Show some respect.
jay		We got the use of unlimited technology from the entire universe and we cruise around in this?
kay		Seat belt.
jay		You know, ya'll gotta learn how to talk to people. You could be a little kinder and gentler.
kay		Buckle up, please.
jay		Now did that hurt?
kay		Makin' fun of my ride...
kay		Jay. The button?
jay		Yeah?
kay		Never push the button, Jay.
kay		License and registration, please.
redgick		It's my wife! She's -- she's -- well, look!
kay		Oh God. How soon?
jay		Me?
kay		Sure, it's easy, you just sorta -- catch.
redgick		Are you sure he knows what he's doing?
kay		Yeah, hell, sure, he does this all the time. C'mon, let him work, Redgick, I wanna ask you something.
jay		Oh God! I see it I see it I see it!
kay		Croagg the Midwife's back on 64th and 8th. You were headed out of town.
redgick		Well, we're, uh -- meeting someone.
jay		Oh sweet Jesus Mother of God did you see that?!
kay		 So? Who you meeting?
redgick		Well, it's -- a ship.
kay		Really? I didn't see a departure clearance for today.
redgick		You didn't? Uh, well -- it was an emergency.
jay		Guys -- guys --
kay		Doin' fine, Ace.  What kind of emergency? What's the rush to get off the planet all of a sudden?
jay		 Help?! HELP! Hello?!
redgick		We just don't like the neighborhood anymore. Some of the -- new arrivals.
kay		What new arrivals? This have anything to do with the crasher from last night?
jay		 Can you guys do this later?!
kay		Congratulations! It's a lizard.
jay		 Hey, you know, it is sorta --
kay		Anything about that seem unusual to you?
jay		Pick.
kay		What kind of "new arrival" would scare Redgick so bad that he'd risk a warp jump with a newborn?  Let's check the hot sheets.
jay		These are the hot sheets?
kay		Best damn investigative reporting on the planet.  But hey, go ahead, read the New York Times if you want. They get lucky sometimes.
jay		You're actually looking for tips in a supermarket tabloid?
kay		Not looking for. Found.
kay		Not so fast. Walk up slow.
jay		Why?
kay		Part of the routine. Makes it look like we're sizing up the situation. Gives her time to get the wrong impression.
beatrice		Can I help you gentlemen?
kay		How do you do, ma'am, I'm Special Agent Manheim, this is Agent Black, FBI. Had a few questions about your visitor.
beatrice		Are you here to make fun of me too?
kay		No ma'am. We at the FBI don't have a sense of humor that we're aware of. Mind if we come in?
beatrice		Sure. Lemonade?
beatrice		And they said to me, "If he was murdered, how could he walk back in the house?" And I must admit, I was a little stumped by that one. But I know Edgar. And that wasn't him. It was more like something else that was wearing him. Like a suit. An Edgar suit.
jay		Damn. If he was this ugly before he was an alien...
beatrice		Sorry?
kay		Go on.
beatrice		Anyway, when I came to, he was gone.
kay		Did he say anything?
beatrice		Yes! He asked for water. Sugar water, if I remember.
kay		Sugar water.
jay		Did you taste her lemonade?
kay		Ray Bans.  Okay, Beatrice. There was no alien, and the flash of light you saw in the sky wasn't a UFO. Swamp gas from a weather balloon was trapped in a thermal pocket and refracted the light from Venus --
jay		Whoa! That thing erases her memory, and you give her a new one?
kay		Standard issue neuralyzer.
jay		And that's the best you can come up with?
kay		On a more personal note, Beatrice, Edgar ran off with on old girlfriend. Go stay at your mother's for a few days and get over it. Decide you're better off.
jay		 Yeah, and you're better off 'cause he never appreciated you anyway. In fact, you kicked him out, and now that he's gone, you ought to buy some new clothes, maybe hire a decorator or something...
jay		 Hey. Kay...when am I gonna get one of those memory things?
kay		When you're ready.  Please -- not green.
jay		Wait -- don't tell me -- that was the question on Final Jeopardy last night.
kay		 Zed, we have a bug.
jay		I'm gonna jump way past you and just guess that this is bad. Right?
kay		Bugs thrive on carnage, Tiger.  They consume, infest and destroy. They live off the death and decay of other species.
jay		So basically you have a racial problem with all insect-based life forms?
kay		Listen, kid -- imagine a giant cockroach five times smarter than Albert Einstein, four times stronger than an ox, nine times meaner than hell, strutting his stuff around Manhattan Island in his brand new Edgar suit. Does that sound like fun?
jay		What do we do?
kay		With a bug in town? Watch the morgues.
rosenberg		Sorry I'm late. The cab drivers on this planet are terrible.
arquillian		Your majesty, you are in grave danger.
rosenberg		Yeah, and they overcharge you every time.
arquillian		Sir, a bug landed here. We must get you off the planet.
rosenberg		A bug? He must know why I'm here.
arquillian		We think he does.  Is that what I think it is?
rosenberg		No, just some diamonds for your children. Do we have time to eat?
arquillian		Sure. I ordered you some pirogi.
cook		Table six is up!
arquillian		To the continued reign of the Arquillian Empire.
rosenberg		To the safety of the galaxy.
rosenberg		 You can kill us both -- but you will not find it.
edgar		You're right about one thing.
cop		What am I supposed to do with the cat?
inspector		I don't know. Send it with the stiff. Let family claim it.
cop		Where do you want contestant number three?
laurel		By the wall, I guess.  What's with the cat?
cop		Oh, the cat. There's a problem with the cat. Sign here.
laurel		What's the problem with the cat?
cop		Your problem.
laurel		Are you having a bad day, baby?  Cheer up.  His is worse.
laurel		Oh, my God.
laurel		 ...approximately 112 degrees at time of autopsy, indicating, quite impossibly, a post-mortem increase in body temperature. Examiner attempted to verify result rectally, only to find subject was, uh, without rectum. Which can only be described as...well...as really...
laurel		Yeah, well whoever you are, I'm afraid I'm going to need to see some ID.
laurel		 You boys must not have much of a home life.
kay		We watch the morgues very carefully. You've got something unusual?
laurel		I'd say so -- triple homicide.
kay		I'll have a look at this one. Dr. White, why don't you and Dr. Weaver check out the other body?
laurel		This way, Doctor.
jay		I think, uh, we should start at the same place you did.
laurel		All right.
jay		Your cat?
laurel		Guess it is now. Came in with the bodies.
jay		Thank-you, but is this really the time to uh -- you know, come on to me?
laurel		Hey, just walking the dog.  Feel that? Where the piloric junction would be?
jay		Oh, yes. Exactly.
laurel		Now push that aside. Notice anything strange? Stomach? Liver? Lungs?
jay		Nope. All fine.
laurel		Doctor, they're all missing.
jay		 Well, of course they are. What I'm pointing out is that there are no pieces of them left. So they're intact, wherever they are. That we can be sure of.
laurel		Have we met before? I have the strangest feeling of deja vu.
jay		You know, I was just going to ask you the same thing.
laurel		Okay. You wanna know what I really think?  This body is not really a body, but it's actually some sort of transport unit for something else altogether. The question is: what?
laurel		By the way, stop me if I'm freaking you out.
jay		No, no...not at all.
laurel		You know what I like to do sometimes? When it's really late?
jay		 No...
kay		What do you think?
jay		 Very interesting. Got a real Queen of the Undead thing goin' on.
kay		Of the body.
jay		Great body.
kay		The dead body?
jay		Not a clue.
kay		All right. Keep her occupied. Try not to sound too dumb.
laurel		Dr. White.
kay		You're up, Slugger.
laurel		Look at this.
jay		What is that?
laurel		Far -- freaking -- out.
baltian		Must -- to pre -- prevent --  -- contest? No...to prevent --
jay		It's all right -- What are you trying to say? Struggle?
laurel		War?
baltian		 What is word? Be...?
jay		Bed? Belt? Orion's Belt?
laurel		"Doctor Whatever"? You're not with the Department of Public Health, are you?
jay		He's dead.
kay		Rosenberg. Damn. Good man.
jay		You knew him?
kay		One of the few I actually liked. Exiled High Prince.
laurel		I was right -- this is an alien life form, and you're from some government agency who wants to keep it under wraps...
jay		He said "to prevent war, the galaxy is on Orion's Belt."
laurel		... This make total sense. How else do you explain New York? The other night I'm in a cab, this guy...
kay		He said there's a galaxy on Orion's Belt? That makes no sense.
jay		That's what he said.  Oh, for Christ's sake, you did the flashy thing already.
laurel		 Uh, hi, whoever you guys are, I'm afraid I'm going to need to see some ID if you're going to be in the morgue, okay?
kay		Sure thing, sweetheart. Here you go.
jay		Stop that --
kay		 Typical day, too much caffeine, get a life.
jay		-- that thing probably gives you brain cancer!
kay		Never hurt her before.
jay		"Never hurt her before"?! How many times have you done the flashy thing to this poor woman?!
kay		 Couple.
jay		Aren't you worried about, you know, long term damage?
kay		 Little bit.
jay		What the hell happened to make you such a callous son of a bitch?
kay		I took this job.
jay		Hey, you never flashed me with that thing, did you?
kay		Nah.
jay		Hey, Kay, I really think I should be in charge of the flashy memory thing department.
kay		Not while I'm around, Slim.
jay		Yeah, well you're a menace with that thing...
kay		 We've got two dead aliens in there, and a deputy medical coroner in need of a new memory.
edgar		No. No, NO, NO, NOOOO!
jay		Doesn't anybody believe in sleep around here?
zed		The twins keep us on Alpha Centaurian time -- a 37-hour day. Give it a few months -- you'll get used to it. Or you'll have a psychotic episode.
zed		Here's Orion; the brightest grouping of stars in the northern sky...  and here's Orion's belt --
jay		That's what the little guy was talking about, "To prevent war, the galaxy's on Orion's belt..."
zed		There are no galaxies on Orion's belt. The belt is just these three stars; galaxies are huge, made up of billions of stars.  You heard wrong.
jay		You're attracted to me, aren't you?
jay		Pretty lady...
kay		No.
jay		Well, it's better to have loved and lost than never to have --
kay		Try it.
kay		 They're leaving.
zed		We've had twelve jumps in the last hour. Redgick was just the beginning.
jay		What do they know that we don't know?
kay		Why do rats desert the ship?  Go to Lem Sat IV. Put up a forty-field view of Manhattan.
jay		And we've got a dead Arquillian prince.
kay		Message coming in.
jay		They sound pissed.
zed		 Meanwhile get down to Rosenberg's store and see what you can turn up.
jay		I like that.
kay		Series four de-atomizer.
jay		You get a series four de-atomizer and I get a "Noisy Cricket?!"  I'm afraid I'm going to break it.
edgar		That's my truck!
driver		And make sure you tell them that at the impound.
jay		Who robs a jewelry store and leaves the jewels?
kay		Someone who's not looking for jewels.
jay		This guy had a serious crush on his cat.
jay		Kay! GET DOWN!
